component,eigenvalue,
0,385.04483002860695,
1,234.3272381224272,
2,198.51915388863452,
3,138.83746180025875,
4,11.857476807870428,
5,8.286550203685493,
6,8.189091197173639,
7,5.880561931649951,
8,2.1541263237138,
9,1.347130617486697,
10,0.7783083055922019,
11,0.7133341154981522,
12,0.6608755530736609,
13,0.5844643100197822,
14,0.5692956861424174,
15,0.4764910621743007,
16,0.30494504406231276,
17,0.28687715202855096,
18,0.2684634987531652,
19,0.22376810014885065,
20,0.21820240519957548,
21,0.17985771944174814,
22,0.1035159813426405,
23,0.09674156145045064,
24,0.08930211383714096,
25,0.0832080214195607,
26,0.07098303745097059,
27,0.06654693642245989,
28,0.06314540009328111,
29,0.05648919758383449,
