component,eigenvalue,
0,74.56502282576453,
1,32.4458171478433,
2,31.070775462156778,
3,29.64164807005517,
4,26.25130776677734,
5,23.644403357289615,
6,22.565583153864836,
7,18.871599104390516,
8,18.42036798328825,
9,16.85979194282495,
10,16.269400398813712,
11,14.584525047743984,
12,14.303273416230159,
13,13.664421733909556,
14,12.520432690991813,
15,12.221162083173757,
16,11.823513988317316,
17,10.36860621958116,
18,10.06085232335193,
19,9.589266679771228,
20,9.438878304791752,
21,8.925720477636768,
22,8.737974979746815,
23,8.56547635481726,
24,8.25136412107303,
25,8.12188571743867,
26,7.982669993230775,
27,7.743533458456696,
28,7.380820919881948,
29,7.150678072472794,
