r,g
0,0
0.01,0
0.03,0
0.06,0
0.09,0
0.12,0
0.15,0
0.18,0
0.21,0
0.24,0
0.27,0
0.3,0
0.33,0
0.36,0
0.39,0
0.42,0
0.45,0
0.48,0
0.51,0
0.54,0
0.57,0
0.6,0
0.63,0
0.66,0
0.69,0
0.72,0
0.75,0
0.78,0
0.81,0
0.84,0
0.87,0
0.9,0
0.93,0
0.96,0
0.99,0
1.02,0
1.05,0
1.08,0
1.11,0
1.14,0
1.17,0
1.2,0
1.23,0
1.26,0
1.29,0
1.32,0
1.35,0
1.38,0
1.41,0
1.44,0
1.47,0
1.5,0
1.53,0
1.56,0
1.59,0
1.62,0
1.65,0
1.68,0
1.71,0
1.74,0
1.77,0
1.8,0
1.83,0
1.86,0
1.89,0
1.92,0
1.95,0
1.98,0
2.01,0
2.04,0
2.07,0
2.1,0
2.13,0
2.16,0
2.19,0
2.22,0
2.25,0
2.28,0
2.31,0.0003
2.34,0.0022
2.37,0.0104
2.4,0.0365
2.43,0.0987
2.46,0.2094
2.49,0.3723
2.52,0.5807
2.55,0.8266
2.58,1.0999
2.61,1.3902
2.64,1.6822
2.67,1.9529
2.7,2.1836
2.73,2.3569
2.76,2.4604
2.79,2.4953
2.82,2.4648
2.85,2.3819
2.88,2.2566
2.91,2.1053
2.94,1.9377
2.97,1.7687
3,1.6025
3.03,1.4504
3.06,1.3117
3.09,1.1917
3.12,1.0903
3.15,1.0083
3.18,0.9433
3.21,0.894
3.24,0.8577
3.27,0.8326
3.3,0.8164
3.33,0.8062
3.36,0.8023
3.39,0.8005
3.42,0.8014
3.45,0.8033
3.48,0.8081
3.51,0.8123
3.54,0.8181
3.57,0.825
3.6,0.8323
3.63,0.8408
3.66,0.8508
3.69,0.8617
3.72,0.8731
3.75,0.8851
3.78,0.8988
3.81,0.9129
3.84,0.9273
3.87,0.9416
3.9,0.9566
3.93,0.9708
3.96,0.9851
3.99,0.9992
4.02,1.0126
4.05,1.0252
4.08,1.0366
4.11,1.0482
4.14,1.059
4.17,1.0685
4.2,1.0775
4.23,1.0855
4.26,1.0929
4.29,1.0995
4.32,1.1057
4.35,1.1104
4.38,1.1148
4.41,1.1183
4.44,1.121
4.47,1.1234
4.5,1.1242
4.53,1.1246
4.56,1.1241
4.59,1.1223
4.62,1.1195
4.65,1.1166
4.68,1.1122
4.71,1.1066
4.74,1.1003
4.77,1.0936
4.8,1.0858
4.83,1.0772
4.86,1.0674
4.89,1.0575
4.92,1.0472
4.95,1.036
4.98,1.0252
5.01,1.0142
5.04,1.0027
5.07,0.9916
5.1,0.9808
5.13,0.9702
5.16,0.9599
5.19,0.9495
5.22,0.9403
5.25,0.9317
5.28,0.924
5.31,0.9165
5.34,0.9093
5.37,0.9033
5.4,0.898
5.43,0.8932
5.46,0.8896
5.49,0.8868
5.52,0.8847
5.55,0.8837
5.58,0.8834
5.61,0.8841
5.64,0.8858
5.67,0.8881
5.7,0.8907
5.73,0.8946
5.76,0.8991
5.79,0.9041
5.82,0.9099
5.85,0.916
5.88,0.9222
5.91,0.9294
5.94,0.9362
5.97,0.9437
6,0.951
6.03,0.9582
6.06,0.9653
6.09,0.9722
6.12,0.9795
6.15,0.9862
6.18,0.993
6.21,0.9999
6.24,1.0053
6.27,1.0114
6.3,1.0177
6.33,1.0226
6.36,1.0277
6.39,1.0326
6.42,1.0371
6.45,1.0411
6.48,1.0449
6.51,1.0483
6.54,1.0515
6.57,1.0539
6.6,1.0561
6.63,1.0578
6.66,1.0592
6.69,1.0605
6.72,1.0609
6.75,1.0611
6.78,1.0607
6.81,1.0603
6.84,1.0589
6.87,1.0579
6.9,1.056
6.93,1.0542
6.96,1.052
6.99,1.0497
7.02,1.0467
7.05,1.0441
7.08,1.0407
7.11,1.0376
7.14,1.0347
7.17,1.031
7.2,1.0276
7.23,1.0243
7.26,1.0205
7.29,1.0171
7.32,1.0136
7.35,1.0102
7.38,1.0066
7.41,1.0036
7.44,1.0005
7.47,0.9976
7.5,0.9947
7.53,0.9919
7.56,0.9895
7.59,0.987
7.62,0.9849
7.65,0.9832
7.68,0.9812
7.71,0.9801
7.74,0.9786
7.77,0.9775
7.8,0.977
7.83,0.9763
7.86,0.9759
7.89,0.9758
7.92,0.9758
7.95,0.9761
7.98,0.9768
8.01,0.9773
8.04,0.9779
8.07,0.979
8.1,0.98
8.13,0.981
8.16,0.9823
8.19,0.9834
8.22,0.9848
8.25,0.9863
8.28,0.9876
8.31,0.9891
8.34,0.9908
8.37,0.9919
8.4,0.9936
8.43,0.9947
8.46,0.9962
8.49,0.9974
8.52,0.9985
8.55,0.9997
8.58,1.0008
8.61,1.0016
8.64,1.0021
8.67,1.0029
8.7,1.0037
8.73,1.0042
8.76,1.0046
8.79,1.0047
8.82,1.005
8.85,1.0053
8.88,1.005
8.91,1.005
8.94,1.0049
8.97,1.0048
9,1.0047
9.03,1.0044
9.06,1.0039
9.09,1.0036
9.12,1.003
9.15,1.0026
9.18,1.0025
9.21,1.0023
9.24,1.0016
9.27,1.0012
9.3,1.001
9.33,1.0003
9.36,1.0005
9.39,1.0001
9.42,0.9996
9.45,0.9994
9.48,0.9991
9.51,0.9991
9.54,0.9988
9.57,0.9983
9.6,0.9984
9.63,0.998
9.66,0.9977
9.69,0.9978
9.72,0.9975
9.75,0.9979
9.78,0.9977
9.81,0.9982
9.84,0.9979
9.87,0.9979
9.9,0.998
9.93,0.9982
9.96,0.9985
9.99,0.9988
10.02,0.999
10.05,0.9992
10.08,0.9998
10.11,1
10.14,1.0003
10.17,1.0007
10.2,1.001
10.23,1.0013
10.26,1.0018
10.29,1.0022
10.32,1.0025
10.35,1.0028
10.38,1.0029
10.41,1.0031
10.44,1.0036
10.47,1.0036
10.5,1.0037
10.53,1.004
10.56,1.0041
10.59,1.0041
10.62,1.0037
10.65,1.004
10.68,1.0039
10.71,1.0041
10.74,1.004
10.77,1.0039
10.8,1.0037
10.83,1.0035
10.86,1.0033
10.89,1.0034
10.92,1.0031
10.95,1.0029
10.98,1.0027
11.01,1.0026
11.04,1.0022
11.07,1.0019
11.1,1.0018
11.13,1.0015
11.16,1.0013
11.19,1.001
11.22,1.0008
11.25,1.0005
11.28,1.0001
11.31,0.9997
11.34,0.9995
11.37,0.9991
11.4,0.9989
11.43,0.9987
11.46,0.9982
11.49,0.9983
11.52,0.9982
11.55,0.9979
11.58,0.9977
11.61,0.9976
11.64,0.9975
11.67,0.9976
11.7,0.9973
11.73,0.9974
11.76,0.9971
11.79,0.9974
11.82,0.9972
11.85,0.9973
11.88,0.9974
11.91,0.9973
11.94,0.9975
11.97,0.9974
12,0.9974
12.03,0.9975
12.06,0.9977
12.09,0.9977
12.12,0.9978
12.15,0.9978
12.18,0.9981
12.21,0.9981
12.24,0.9982
12.27,0.9982
12.3,0.9984
12.33,0.9984
12.36,0.9985
12.39,0.9987
12.42,0.9987
12.45,0.9989
12.48,0.9989
12.51,0.9991
12.54,0.9992
12.57,0.9992
12.6,0.9993
12.63,0.9993
12.66,0.9996
12.69,0.9996
12.72,0.9997
12.75,0.9997
12.78,0.9999
12.81,0.9999
12.84,1.0001
12.87,1.0002
12.9,1.0003
12.93,1.0003
12.96,1.0005
12.99,1.0006
13.02,1.0005
13.05,1.0007
13.08,1.0007
13.11,1.0007
13.14,1.0008
13.17,1.0009
13.2,1.0009
13.23,1.001
13.26,1.001
13.29,1.001
13.32,1.001
