r,g
0,0
0.01,0
0.03,0
0.06,0
0.09,0
0.12,0
0.15,0
0.18,0
0.21,0
0.24,0
0.27,0
0.3,0
0.33,0
0.36,0
0.39,0
0.42,0
0.45,0
0.48,0
0.51,0
0.54,0
0.57,0
0.6,0
0.63,0
0.66,0
0.69,0
0.72,0
0.75,0
0.78,0
0.81,0
0.84,0
0.87,0
0.9,0
0.93,0
0.96,0
0.99,0
1.02,0
1.05,0
1.08,0.0001
1.11,0.0001
1.14,0.0001
1.17,0.0001
1.2,0.0002
1.23,0.0002
1.26,0.0003
1.29,0.0003
1.32,0.0004
1.35,0.0005
1.38,0.0006
1.41,0.0007
1.44,0.001
1.47,0.0016
1.5,0.0028
1.53,0.0052
1.56,0.0103
1.59,0.0195
1.62,0.0338
1.65,0.0533
1.68,0.0779
1.71,0.1067
1.74,0.14
1.77,0.1779
1.8,0.2213
1.83,0.2697
1.86,0.323
1.89,0.3807
1.92,0.4415
1.95,0.5056
1.98,0.57
2.01,0.6357
2.04,0.702
2.07,0.7681
2.1,0.8342
2.13,0.9005
2.16,0.9654
2.19,1.0297
2.22,1.0918
2.25,1.151
2.28,1.2059
2.31,1.2536
2.34,1.2928
2.37,1.3207
2.4,1.337
2.43,1.3385
2.46,1.3254
2.49,1.2991
2.52,1.2596
2.55,1.2111
2.58,1.1547
2.61,1.0948
2.64,1.0343
2.67,0.9747
2.7,0.9196
2.73,0.8696
2.76,0.8242
2.79,0.7867
2.82,0.7553
2.85,0.7301
2.88,0.7105
2.91,0.6975
2.94,0.6895
2.97,0.686
3,0.6876
3.03,0.6932
3.06,0.7021
3.09,0.7144
3.12,0.7301
3.15,0.7479
3.18,0.7684
3.21,0.7902
3.24,0.8136
3.27,0.8377
3.3,0.8633
3.33,0.889
3.36,0.9147
3.39,0.9404
3.42,0.9655
3.45,0.9896
3.48,1.013
3.51,1.0351
3.54,1.0557
3.57,1.0751
3.6,1.0927
3.63,1.1092
3.66,1.1228
3.69,1.1352
3.72,1.1455
3.75,1.1537
3.78,1.1597
3.81,1.1635
3.84,1.1655
3.87,1.1651
3.9,1.1631
3.93,1.1589
3.96,1.1536
3.99,1.1462
4.02,1.1377
4.05,1.1286
4.08,1.1187
4.11,1.1083
4.14,1.0979
4.17,1.0877
4.2,1.0785
4.23,1.0692
4.26,1.0609
4.29,1.0536
4.32,1.0467
4.35,1.0412
4.38,1.0358
4.41,1.0312
4.44,1.0275
4.47,1.0245
4.5,1.0214
4.53,1.0189
4.56,1.0168
4.59,1.0147
4.62,1.0127
4.65,1.0108
4.68,1.0089
4.71,1.0068
4.74,1.0051
4.77,1.0028
4.8,1.0005
4.83,0.9981
4.86,0.9957
4.89,0.9931
4.92,0.9903
4.95,0.9876
4.98,0.9847
5.01,0.9821
5.04,0.9794
5.07,0.9769
5.1,0.9745
5.13,0.9724
5.16,0.9702
5.19,0.9686
5.22,0.9668
5.25,0.9658
5.28,0.9648
5.31,0.9639
5.34,0.9636
5.37,0.9635
5.4,0.9632
5.43,0.9637
5.46,0.9641
5.49,0.9652
5.52,0.9663
5.55,0.9676
5.58,0.9692
5.61,0.9708
5.64,0.9725
5.67,0.9746
5.7,0.9767
5.73,0.979
5.76,0.981
5.79,0.9834
5.82,0.986
5.85,0.9881
5.88,0.9901
5.91,0.9923
5.94,0.9943
5.97,0.996
6,0.9977
6.03,0.9993
6.06,1.0005
6.09,1.0016
6.12,1.0026
6.15,1.0033
6.18,1.0037
6.21,1.0039
6.24,1.0039
6.27,1.0039
6.3,1.0038
6.33,1.0035
6.36,1.003
6.39,1.0025
6.42,1.0021
6.45,1.0013
6.48,1.0007
6.51,1
6.54,0.9995
6.57,0.999
6.6,0.9987
6.63,0.9982
6.66,0.9982
6.69,0.998
6.72,0.9976
6.75,0.9979
6.78,0.9979
6.81,0.9979
6.84,0.9982
6.87,0.9984
6.9,0.9989
6.93,0.9993
6.96,1
6.99,1.0004
7.02,1.001
7.05,1.0016
7.08,1.0021
7.11,1.0028
7.14,1.0033
7.17,1.0041
7.2,1.0046
7.23,1.0053
7.26,1.0058
7.29,1.0062
7.32,1.0069
7.35,1.0072
7.38,1.0076
7.41,1.0078
7.44,1.0081
7.47,1.0083
7.5,1.0084
7.53,1.0087
7.56,1.0088
7.59,1.0087
7.62,1.0087
7.65,1.0088
7.68,1.0085
7.71,1.0084
7.74,1.0082
7.77,1.0081
7.8,1.0079
7.83,1.0077
7.86,1.0074
7.89,1.0072
7.92,1.0071
7.95,1.0067
7.98,1.0063
8.01,1.0061
8.04,1.0058
8.07,1.0055
8.1,1.0051
8.13,1.0048
8.16,1.0044
8.19,1.004
8.22,1.0037
8.25,1.0033
8.28,1.003
8.31,1.0024
8.34,1.0019
8.37,1.0013
8.4,1.001
8.43,1.0003
8.46,0.9998
8.49,0.9992
8.52,0.9986
8.55,0.9981
8.58,0.9975
8.61,0.9971
8.64,0.9964
8.67,0.996
8.7,0.9955
8.73,0.9951
8.76,0.9945
8.79,0.9941
8.82,0.9938
8.85,0.9934
8.88,0.9931
8.91,0.993
8.94,0.9928
8.97,0.9927
9,0.9926
9.03,0.9927
9.06,0.9928
9.09,0.9928
9.12,0.993
9.15,0.9931
9.18,0.9933
9.21,0.9936
9.24,0.9939
9.27,0.9941
9.3,0.9945
9.33,0.995
9.36,0.9952
9.39,0.9957
9.42,0.9962
9.45,0.9966
9.48,0.997
9.51,0.9976
9.54,0.9978
9.57,0.9984
9.6,0.9989
9.63,0.9993
9.66,0.9997
9.69,1.0003
9.72,1.0004
9.75,1.0009
9.78,1.0013
9.81,1.0015
9.84,1.0019
9.87,1.002
9.9,1.0023
9.93,1.0026
9.96,1.0027
9.99,1.0029
10.02,1.003
10.05,1.0031
10.08,1.0032
10.11,1.0033
10.14,1.0033
10.17,1.0033
10.2,1.0032
10.23,1.0033
10.26,1.0032
10.29,1.0031
10.32,1.0031
10.35,1.003
10.38,1.003
10.41,1.0028
10.44,1.0028
10.47,1.0027
10.5,1.0027
10.53,1.0026
10.56,1.0024
10.59,1.0024
10.62,1.0023
10.65,1.0022
10.68,1.0022
10.71,1.002
10.74,1.002
10.77,1.0018
10.8,1.0016
10.83,1.0017
10.86,1.0015
10.89,1.0014
10.92,1.0013
10.95,1.0012
10.98,1.0009
11.01,1.0009
11.04,1.0007
11.07,1.0005
11.1,1.0004
11.13,1.0003
11.16,1
11.19,0.9999
11.22,0.9998
11.25,0.9996
11.28,0.9995
11.31,0.9994
11.34,0.9991
11.37,0.999
11.4,0.9989
11.43,0.9987
11.46,0.9986
11.49,0.9986
11.52,0.9984
11.55,0.9984
11.58,0.9984
11.61,0.9984
11.64,0.9984
11.67,0.9984
11.7,0.9984
11.73,0.9984
11.76,0.9985
11.79,0.9986
11.82,0.9987
11.85,0.9988
11.88,0.9989
11.91,0.999
11.94,0.9992
11.97,0.9992
12,0.9993
12.03,0.9995
12.06,0.9996
12.09,0.9996
12.12,0.9997
12.15,0.9998
12.18,0.9998
12.21,0.9998
12.24,0.9997
12.27,0.9997
12.3,0.9997
12.33,0.9998
12.36,0.9997
12.39,0.9997
12.42,0.9997
12.45,0.9997
12.48,0.9997
12.51,0.9996
12.54,0.9995
12.57,0.9994
12.6,0.9994
12.63,0.9994
12.66,0.9994
12.69,0.9994
12.72,0.9994
12.75,0.9993
12.78,0.9993
12.81,0.9993
12.84,0.9993
12.87,0.9993
12.9,0.9993
12.93,0.9994
