r,g
0,0
0.01,0
0.03,0
0.06,0
0.09,0
0.12,0
0.15,0
0.18,0
0.21,0
0.24,0
0.27,0
0.3,0
0.33,0
0.36,0
0.39,0
0.42,0
0.45,0
0.48,0
0.51,0
0.54,0
0.57,0
0.6,0
0.63,0
0.66,0
0.69,0
0.72,0
0.75,0
0.78,0
0.81,0
0.84,0
0.87,0
0.9,0
0.93,0
0.96,0
0.99,0
1.02,0
1.05,0
1.08,0.0001
1.11,0.0001
1.14,0.0004
1.17,0.0009
1.2,0.0022
1.23,0.005
1.26,0.0104
1.29,0.0205
1.32,0.0372
1.35,0.0627
1.38,0.0977
1.41,0.142
1.44,0.1953
1.47,0.2558
1.5,0.3225
1.53,0.3941
1.56,0.4701
1.59,0.55
1.62,0.6319
1.65,0.713
1.68,0.7913
1.71,0.8641
1.74,0.9291
1.77,0.9806
1.8,1.0175
1.83,1.0395
1.86,1.0421
1.89,1.0286
1.92,0.9982
1.95,0.9548
1.98,0.9008
2.01,0.8379
2.04,0.7708
2.07,0.7004
2.1,0.631
2.13,0.5629
2.16,0.4995
2.19,0.4414
2.22,0.3888
2.25,0.3435
2.28,0.3054
2.31,0.2739
2.34,0.2493
2.37,0.2306
2.4,0.2182
2.43,0.2112
2.46,0.2103
2.49,0.2152
2.52,0.2256
2.55,0.2422
2.58,0.2657
2.61,0.2953
2.64,0.3314
2.67,0.3748
2.7,0.4246
2.73,0.4803
2.76,0.5417
2.79,0.6084
2.82,0.6792
2.85,0.7528
2.88,0.8279
2.91,0.9041
2.94,0.9795
2.97,1.0535
3,1.1239
3.03,1.1908
3.06,1.2521
3.09,1.3075
3.12,1.3552
3.15,1.3959
3.18,1.4282
3.21,1.4523
3.24,1.4681
3.27,1.4751
3.3,1.474
3.33,1.4648
3.36,1.4491
3.39,1.4274
3.42,1.4003
3.45,1.3701
3.48,1.3367
3.51,1.3017
3.54,1.2666
3.57,1.2326
3.6,1.1998
3.63,1.1695
3.66,1.1421
3.69,1.117
3.72,1.0953
3.75,1.0766
3.78,1.0608
3.81,1.0474
3.84,1.0363
3.87,1.0269
3.9,1.0195
3.93,1.0136
3.96,1.0085
3.99,1.0045
4.02,1.0012
4.05,0.9982
4.08,0.9961
4.11,0.9941
4.14,0.9921
4.17,0.9906
4.2,0.989
4.23,0.9875
4.26,0.9858
4.29,0.9842
4.32,0.9826
4.35,0.9811
4.38,0.9792
4.41,0.9775
4.44,0.9758
4.47,0.974
4.5,0.9726
4.53,0.9713
4.56,0.9701
4.59,0.9689
4.62,0.9682
4.65,0.9672
4.68,0.9669
4.71,0.9668
4.74,0.9668
4.77,0.967
4.8,0.9677
4.83,0.9686
4.86,0.9695
4.89,0.9709
4.92,0.9724
4.95,0.9743
4.98,0.9761
5.01,0.978
5.04,0.98
5.07,0.9823
5.1,0.9846
5.13,0.9869
5.16,0.989
5.19,0.9912
5.22,0.9934
5.25,0.9952
5.28,0.9971
5.31,0.9989
5.34,1.0004
5.37,1.0015
5.4,1.0026
5.43,1.0035
5.46,1.0038
5.49,1.0039
5.52,1.0038
5.55,1.0035
5.58,1.0028
5.61,1.0019
5.64,1.0006
5.67,0.9989
5.7,0.9972
5.73,0.9954
5.76,0.9935
5.79,0.9912
5.82,0.9894
5.85,0.9868
5.88,0.9848
5.91,0.9827
5.94,0.9806
5.97,0.9788
6,0.9772
6.03,0.9759
6.06,0.9746
6.09,0.9738
6.12,0.9734
6.15,0.9731
6.18,0.9731
6.21,0.9737
6.24,0.9742
6.27,0.9752
6.3,0.9763
6.33,0.9778
6.36,0.9792
6.39,0.9812
6.42,0.9829
6.45,0.985
6.48,0.9872
6.51,0.9893
6.54,0.9915
6.57,0.9937
6.6,0.9961
6.63,0.9982
6.66,1.0004
6.69,1.0025
6.72,1.0046
6.75,1.0066
6.78,1.0083
6.81,1.01
6.84,1.0115
6.87,1.0131
6.9,1.0143
6.93,1.0155
6.96,1.0167
6.99,1.0176
7.02,1.0184
7.05,1.0191
7.08,1.0198
7.11,1.0203
7.14,1.0204
7.17,1.0205
7.2,1.0208
7.23,1.0209
7.26,1.0208
7.29,1.0205
7.32,1.0202
7.35,1.0198
7.38,1.0195
7.41,1.0189
7.44,1.0184
7.47,1.0177
7.5,1.0171
7.53,1.0163
7.56,1.0156
7.59,1.0146
7.62,1.0137
7.65,1.0129
7.68,1.0117
7.71,1.0107
7.74,1.0096
7.77,1.0084
7.8,1.0075
7.83,1.0063
7.86,1.0052
7.89,1.0039
7.92,1.0027
7.95,1.0017
7.98,1.0004
8.01,0.9993
8.04,0.9983
8.07,0.997
8.1,0.9962
8.13,0.9952
8.16,0.9941
8.19,0.9935
8.22,0.9925
8.25,0.9917
8.28,0.9914
8.31,0.9907
8.34,0.9902
8.37,0.9898
8.4,0.9895
8.43,0.9893
8.46,0.9891
8.49,0.989
8.52,0.9888
8.55,0.9892
8.58,0.9893
8.61,0.9897
8.64,0.9899
8.67,0.9902
8.7,0.9907
8.73,0.9912
8.76,0.9916
8.79,0.9921
8.82,0.9929
8.85,0.9934
8.88,0.994
8.91,0.9947
8.94,0.9954
8.97,0.9961
9,0.9966
9.03,0.997
9.06,0.9975
9.09,0.9981
9.12,0.9986
9.15,0.9991
9.18,0.9995
9.21,0.9999
9.24,1.0002
9.27,1.0005
9.3,1.0007
9.33,1.001
9.36,1.0012
9.39,1.0014
9.42,1.0016
9.45,1.0017
9.48,1.0017
9.51,1.0019
9.54,1.002
9.57,1.0019
9.6,1.0019
9.63,1.0019
9.66,1.0017
9.69,1.0017
9.72,1.0018
9.75,1.0017
9.78,1.0016
9.81,1.0014
9.84,1.0014
9.87,1.0014
9.9,1.0012
9.93,1.0012
9.96,1.0011
9.99,1.0011
10.02,1.0009
10.05,1.0011
10.08,1.0009
10.11,1.001
10.14,1.0009
10.17,1.0009
10.2,1.0009
10.23,1.0009
10.26,1.0009
10.29,1.001
10.32,1.0011
10.35,1.001
10.38,1.0012
10.41,1.0012
10.44,1.0012
10.47,1.0012
10.5,1.0013
10.53,1.0013
10.56,1.0012
10.59,1.0013
10.62,1.0014
10.65,1.0013
10.68,1.0015
10.71,1.0014
10.74,1.0017
10.77,1.0016
10.8,1.0014
10.83,1.0015
10.86,1.0018
10.89,1.0017
10.92,1.0018
10.95,1.0018
10.98,1.0017
11.01,1.0018
11.04,1.0019
11.07,1.0019
11.1,1.0018
11.13,1.0019
11.16,1.0018
11.19,1.0018
11.22,1.0016
11.25,1.0016
11.28,1.0015
11.31,1.0014
11.34,1.0013
11.37,1.0012
11.4,1.0011
11.43,1.001
11.46,1.0008
11.49,1.0006
11.52,1.0004
11.55,1.0004
11.58,1.0001
11.61,1
11.64,0.9998
11.67,0.9995
11.7,0.9993
11.73,0.9991
11.76,0.9989
11.79,0.9988
11.82,0.9984
11.85,0.9984
11.88,0.9981
11.91,0.998
11.94,0.9978
11.97,0.9976
12,0.9975
12.03,0.9974
12.06,0.9974
12.09,0.9973
12.12,0.9971
12.15,0.9972
12.18,0.9971
12.21,0.9972
12.24,0.9972
12.27,0.9972
12.3,0.9972
12.33,0.9974
12.36,0.9974
12.39,0.9975
12.42,0.9975
12.45,0.9978
12.48,0.998
12.51,0.998
12.54,0.9982
12.57,0.9983
12.6,0.9985
12.63,0.9987
12.66,0.9989
12.69,0.999
12.72,0.9992
12.75,0.9994
12.78,0.9996
12.81,0.9996
12.84,0.9998
12.87,1
12.9,1.0001
