Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000      -12459.7610  -12460.4453       0.6843   294.1
0.0010      -12459.7616  -12460.5159       0.7543   324.2
0.0020      -12459.7741  -12460.6724       0.8983   386.1
0.0030      -12459.7839  -12460.7301       0.9462   406.7
0.0040      -12459.7683  -12460.5718       0.8035   345.4
0.0050      -12459.7531  -12460.4391       0.6860   294.8
0.0060      -12459.7742  -12460.5230       0.7488   321.8
0.0070      -12459.7764  -12460.5628       0.7864   338.0
0.0080      -12459.7668  -12460.4925       0.7258   311.9
0.0090      -12459.7661  -12460.4380       0.6720   288.8
0.0100      -12459.7622  -12460.4380       0.6758   290.5
0.0110      -12459.7684  -12460.5332       0.7648   328.7
0.0120      -12459.7810  -12460.6232       0.8422   362.0
0.0130      -12459.7680  -12460.5520       0.7841   337.0
0.0140      -12459.7589  -12460.4969       0.7380   317.2
0.0150      -12459.7765  -12460.5647       0.7882   338.7
0.0160      -12459.7700  -12460.5491       0.7791   334.8
0.0170      -12459.7659  -12460.4986       0.7326   314.9
0.0180      -12459.7704  -12460.4699       0.6995   300.7
0.0190      -12459.7598  -12460.4332       0.6733   289.4
0.0200      -12459.7640  -12460.5127       0.7487   321.8
0.0210      -12459.7803  -12460.6471       0.8668   372.6
0.0220      -12459.7736  -12460.6277       0.8541   367.1
0.0230      -12459.7612  -12460.5501       0.7890   339.1
0.0240      -12459.7702  -12460.5765       0.8063   346.5
0.0250      -12459.7689  -12460.6176       0.8486   364.7
0.0260      -12459.7744  -12460.6471       0.8727   375.1
0.0270      -12459.7733  -12460.5870       0.8137   349.7
0.0280      -12459.7577  -12460.4595       0.7018   301.6
0.0290      -12459.7597  -12460.4727       0.7130   306.4
0.0300      -12459.7790  -12460.6039       0.8249   354.5
0.0310      -12459.7773  -12460.6030       0.8257   354.9
0.0320      -12459.7644  -12460.4917       0.7273   312.6
0.0330      -12459.7634  -12460.4527       0.6893   296.3
0.0340      -12459.7696  -12460.5186       0.7490   321.9
0.0350      -12459.7811  -12460.5765       0.7954   341.9
0.0360      -12459.7743  -12460.4660       0.6917   297.3
0.0370      -12459.7550  -12460.2916       0.5366   230.6
0.0380      -12459.7597  -12460.3222       0.5625   241.8
0.0390      -12459.7836  -12460.4865       0.7028   302.1
0.0400      -12459.7781  -12460.4640       0.6859   294.8
0.0410      -12459.7568  -12460.3306       0.5738   246.6
0.0420      -12459.7609  -12460.3786       0.6176   265.5
0.0430      -12459.7792  -12460.5557       0.7764   333.7
0.0440      -12459.7814  -12460.5933       0.8119   349.0
0.0450      -12459.7672  -12460.4460       0.6788   291.8
0.0460      -12459.7546  -12460.3281       0.5735   246.5
0.0470      -12459.7648  -12460.4209       0.6561   282.0
0.0480      -12459.7848  -12460.5740       0.7892   339.2
0.0490      -12459.7773  -12460.5150       0.7378   317.1
0.0500      -12459.7549  -12460.3554       0.6005   258.1
0.0510      -12459.7619  -12460.4041       0.6422   276.0
0.0520      -12459.7809  -12460.5703       0.7893   339.2
0.0530      -12459.7759  -12460.5830       0.8072   346.9
0.0540      -12459.7669  -12460.4837       0.7167   308.0
0.0550      -12459.7600  -12460.4176       0.6576   282.6
0.0560      -12459.7661  -12460.4893       0.7232   310.8
0.0570      -12459.7851  -12460.5948       0.8097   348.0
0.0580      -12459.7746  -12460.4933       0.7187   308.9
0.0590      -12459.7520  -12460.3404       0.5884   252.9
0.0600      -12459.7679  -12460.4261       0.6581   282.9
0.0610      -12459.7799  -12460.5530       0.7730   332.2
0.0620      -12459.7700  -12460.5316       0.7616   327.3
0.0630      -12459.7676  -12460.4721       0.7045   302.8
0.0640      -12459.7636  -12460.4407       0.6771   291.0
0.0650      -12459.7661  -12460.5015       0.7354   316.1
0.0660      -12459.7834  -12460.6007       0.8173   351.3
0.0670      -12459.7741  -12460.5214       0.7473   321.2
0.0680      -12459.7554  -12460.4012       0.6458   277.6
0.0690      -12459.7731  -12460.4630       0.6898   296.5
0.0700      -12459.7741  -12460.4955       0.7214   310.1
0.0710      -12459.7641  -12460.4535       0.6894   296.3
0.0720      -12459.7680  -12460.4609       0.6929   297.8
0.0730      -12459.7694  -12460.4876       0.7183   308.7
0.0740      -12459.7650  -12460.5309       0.7659   329.2
0.0750      -12459.7800  -12460.6223       0.8423   362.0
0.0760      -12459.7729  -12460.5909       0.8181   351.6
0.0770      -12459.7632  -12460.5163       0.7531   323.7
