Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000      -12459.7422  -12460.4264       0.6843   294.1
0.0010      -12459.7423  -12460.4882       0.7460   320.6
0.0020      -12459.7524  -12460.6325       0.8801   378.3
0.0030      -12459.7639  -12460.7013       0.9374   402.9
0.0040      -12459.7504  -12460.5613       0.8109   348.5
0.0050      -12459.7348  -12460.4208       0.6860   294.8
0.0060      -12459.7516  -12460.4779       0.7262   312.1
0.0070      -12459.7545  -12460.5283       0.7737   332.5
0.0080      -12459.7519  -12460.4917       0.7399   318.0
0.0090      -12459.7468  -12460.4105       0.6637   285.2
0.0100      -12459.7373  -12460.3761       0.6388   274.6
0.0110      -12459.7494  -12460.5043       0.7549   324.4
0.0120      -12459.7648  -12460.6217       0.8569   368.3
0.0130      -12459.7479  -12460.5282       0.7803   335.4
0.0140      -12459.7381  -12460.4573       0.7192   309.1
0.0150      -12459.7550  -12460.5378       0.7828   336.4
0.0160      -12459.7540  -12460.5543       0.8003   344.0
0.0170      -12459.7497  -12460.4825       0.7328   315.0
0.0180      -12459.7435  -12460.3936       0.6500   279.4
0.0190      -12459.7377  -12460.3922       0.6545   281.3
0.0200      -12459.7533  -12460.5388       0.7855   337.6
0.0210      -12459.7626  -12460.6269       0.8643   371.5
0.0220      -12459.7462  -12460.5342       0.7880   338.7
0.0230      -12459.7395  -12460.4919       0.7524   323.4
0.0240      -12459.7540  -12460.5947       0.8407   361.3
0.0250      -12459.7562  -12460.6460       0.8898   382.4
0.0260      -12459.7502  -12460.5843       0.8341   358.5
0.0270      -12459.7433  -12460.4883       0.7450   320.2
0.0280      -12459.7399  -12460.4661       0.7262   312.1
0.0290      -12459.7521  -12460.5545       0.8024   344.9
0.0300      -12459.7592  -12460.5919       0.8327   357.9
0.0310      -12459.7432  -12460.4941       0.7509   322.7
0.0320      -12459.7442  -12460.4695       0.7253   311.7
0.0330      -12459.7552  -12460.5197       0.7645   328.6
0.0340      -12459.7517  -12460.4972       0.7456   320.4
0.0350      -12459.7468  -12460.4334       0.6866   295.1
0.0360      -12459.7475  -12460.3953       0.6478   278.4
0.0370      -12459.7467  -12460.3883       0.6417   275.8
0.0380      -12459.7532  -12460.4167       0.6636   285.2
0.0390      -12459.7551  -12460.3996       0.6445   277.0
0.0400      -12459.7406  -12460.3407       0.6001   257.9
0.0410      -12459.7504  -12460.4101       0.6596   283.5
0.0420      -12459.7576  -12460.4856       0.7280   312.9
0.0430      -12459.7491  -12460.4513       0.7022   301.8
0.0440      -12459.7434  -12460.4076       0.6642   285.5
0.0450      -12459.7475  -12460.4359       0.6884   295.9
0.0460      -12459.7529  -12460.4870       0.7340   315.5
0.0470      -12459.7541  -12460.4835       0.7294   313.5
0.0480      -12459.7458  -12460.4245       0.6787   291.7
0.0490      -12459.7453  -12460.4305       0.6852   294.5
0.0500      -12459.7567  -12460.5010       0.7443   319.9
0.0510      -12459.7538  -12460.4815       0.7277   312.8
0.0520      -12459.7432  -12460.4024       0.6591   283.3
0.0530      -12459.7425  -12460.4088       0.6663   286.4
0.0540      -12459.7514  -12460.5119       0.7605   326.8
0.0550      -12459.7590  -12460.5773       0.8183   351.7
0.0560      -12459.7502  -12460.5141       0.7639   328.3
0.0570      -12459.7426  -12460.4491       0.7066   303.7
