Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000      -12459.7930  -12460.4773       0.6843   294.1
0.0010      -12459.7935  -12460.5468       0.7533   323.8
0.0020      -12459.8057  -12460.7015       0.8958   385.0
0.0030      -12459.8156  -12460.7615       0.9460   406.6
0.0040      -12459.8007  -12460.6081       0.8074   347.0
0.0050      -12459.7851  -12460.4710       0.6858   294.8
0.0060      -12459.8050  -12460.5472       0.7422   319.0
0.0070      -12459.8083  -12460.5918       0.7834   336.7
0.0080      -12459.7986  -12460.5283       0.7297   313.6
0.0090      -12459.7985  -12460.4793       0.6808   292.6
0.0100      -12459.7947  -12460.4746       0.6798   292.2
0.0110      -12459.7986  -12460.5571       0.7585   326.0
0.0120      -12459.8118  -12460.6565       0.8447   363.0
0.0130      -12459.8018  -12460.6077       0.8059   346.4
0.0140      -12459.7912  -12460.5452       0.7540   324.1
0.0150      -12459.8065  -12460.5958       0.7893   339.2
0.0160      -12459.8019  -12460.5847       0.7828   336.5
0.0170      -12459.7972  -12460.5449       0.7477   321.4
0.0180      -12459.8036  -12460.5329       0.7292   313.4
0.0190      -12459.7939  -12460.4890       0.6951   298.7
0.0200      -12459.7925  -12460.5337       0.7412   318.6
0.0210      -12459.8098  -12460.6760       0.8662   372.3
0.0220      -12459.8088  -12460.6957       0.8869   381.2
0.0230      -12459.7947  -12460.6107       0.8160   350.7
0.0240      -12459.7995  -12460.6037       0.8042   345.6
0.0250      -12459.8003  -12460.6422       0.8419   361.9
0.0260      -12459.8055  -12460.6838       0.8783   377.5
0.0270      -12459.8064  -12460.6443       0.8378   360.1
0.0280      -12459.7928  -12460.5155       0.7227   310.6
0.0290      -12459.7880  -12460.4871       0.6990   300.4
0.0300      -12459.8060  -12460.6161       0.8102   348.2
0.0310      -12459.8117  -12460.6676       0.8558   367.8
0.0320      -12459.7982  -12460.5630       0.7648   328.7
0.0330      -12459.7929  -12460.4884       0.6955   298.9
0.0340      -12459.7994  -12460.5374       0.7380   317.2
0.0350      -12459.8108  -12460.6023       0.7915   340.2
0.0360      -12459.8059  -12460.5190       0.7131   306.5
0.0370      -12459.7909  -12460.3551       0.5642   242.5
0.0380      -12459.7871  -12460.3358       0.5487   235.8
0.0390      -12459.8091  -12460.4997       0.6905   296.8
0.0400      -12459.8135  -12460.5540       0.7405   318.3
0.0410      -12459.7928  -12460.4417       0.6490   278.9
0.0420      -12459.7905  -12460.4414       0.6509   279.7
0.0430      -12459.8076  -12460.5899       0.7823   336.2
0.0440      -12459.8108  -12460.6441       0.8333   358.2
0.0450      -12459.8005  -12460.5372       0.7367   316.6
0.0460      -12459.7920  -12460.4153       0.6232   267.9
0.0470      -12459.7900  -12460.4214       0.6314   271.4
0.0480      -12459.8073  -12460.5645       0.7572   325.5
0.0490      -12459.8134  -12460.6109       0.7975   342.8
0.0500      -12459.7941  -12460.4866       0.6926   297.7
0.0510      -12459.7882  -12460.4597       0.6715   288.6
0.0520      -12459.8085  -12460.6016       0.7932   340.9
0.0530      -12459.8076  -12460.6478       0.8402   361.1
0.0540      -12459.8010  -12460.5734       0.7724   332.0
0.0550      -12459.7968  -12460.4775       0.6807   292.5
0.0560      -12459.7902  -12460.4509       0.6606   283.9
0.0570      -12459.8071  -12460.5611       0.7540   324.1
0.0580      -12459.8145  -12460.5891       0.7746   332.9
0.0590      -12459.7910  -12460.4505       0.6595   283.5
0.0600      -12459.7912  -12460.4475       0.6563   282.1
0.0610      -12459.8087  -12460.5825       0.7738   332.6
0.0620      -12459.8042  -12460.6152       0.8109   348.5
0.0630      -12459.8019  -12460.5675       0.7657   329.1
0.0640      -12459.7985  -12460.4889       0.6904   296.7
0.0650      -12459.7894  -12460.4568       0.6674   286.9
0.0660      -12459.8064  -12460.5728       0.7663   329.4
0.0670      -12459.8155  -12460.6138       0.7982   343.1
0.0680      -12459.7908  -12460.4767       0.6858   294.8
0.0690      -12459.7936  -12460.4614       0.6678   287.0
0.0700      -12459.8054  -12460.5522       0.7468   321.0
0.0710      -12459.8013  -12460.5815       0.7802   335.3
0.0720      -12459.8007  -12460.5793       0.7786   334.6
0.0730      -12459.8016  -12460.5633       0.7617   327.4
0.0740      -12459.7928  -12460.5507       0.7579   325.8
0.0750      -12459.8045  -12460.6439       0.8393   360.7
0.0760      -12459.8125  -12460.6939       0.8814   378.8
0.0770      -12459.7976  -12460.5991       0.8015   344.5
0.0780      -12459.7949  -12460.5387       0.7438   319.7
0.0790      -12459.7993  -12460.5559       0.7566   325.2
0.0800      -12459.7995  -12460.5866       0.7871   338.3
0.0810      -12459.8020  -12460.6094       0.8073   347.0
0.0820      -12459.8020  -12460.5937       0.7917   340.3
0.0830      -12459.7951  -12460.5630       0.7679   330.1
0.0840      -12459.8019  -12460.6112       0.8093   347.8
0.0850      -12459.8090  -12460.6590       0.8500   365.3
0.0860      -12459.8048  -12460.6010       0.7961   342.2
0.0870      -12459.7930  -12460.5016       0.7086   304.6
0.0880      -12459.7991  -12460.4995       0.7003   301.0
0.0890      -12459.8016  -12460.5230       0.7214   310.1
0.0900      -12459.7987  -12460.5203       0.7215   310.1
0.0910      -12459.8014  -12460.5209       0.7194   309.2
0.0920      -12459.8004  -12460.5024       0.7021   301.7
0.0930      -12459.7913  -12460.5077       0.7164   307.9
0.0940      -12459.8092  -12460.6264       0.8172   351.2
0.0950      -12459.8118  -12460.6341       0.8224   353.4
0.0960      -12459.7914  -12460.4985       0.7071   303.9
0.0970      -12459.7968  -12460.4682       0.6715   288.6
0.0980      -12459.8014  -12460.4988       0.6974   299.7
0.0990      -12459.7979  -12460.5121       0.7142   307.0
0.1000      -12459.8029  -12460.5357       0.7328   314.9
0.1010      -12459.8022  -12460.5134       0.7112   305.7
0.1020      -12459.7881  -12460.4849       0.6968   299.5
0.1030      -12459.8053  -12460.6113       0.8060   346.4
0.1040      -12459.8150  -12460.6769       0.8619   370.5
0.1050      -12459.7930  -12460.5645       0.7715   331.6
0.1060      -12459.7983  -12460.5308       0.7325   314.8
0.1070      -12459.8029  -12460.5361       0.7332   315.1
0.1080      -12459.7981  -12460.5041       0.7061   303.5
0.1090      -12459.8011  -12460.4788       0.6777   291.3
0.1100      -12459.7965  -12460.4405       0.6441   276.8
0.1110      -12459.7967  -12460.4466       0.6499   279.3
0.1120      -12459.8046  -12460.4979       0.6933   298.0
0.1130      -12459.8062  -12460.4891       0.6828   293.5
0.1140      -12459.7937  -12460.4232       0.6295   270.6
0.1150      -12459.8035  -12460.4410       0.6375   274.0
0.1160      -12459.8034  -12460.4365       0.6331   272.1
0.1170      -12459.7998  -12460.3796       0.5798   249.2
0.1180      -12459.7954  -12460.3167       0.5213   224.1
0.1190      -12459.7920  -12460.3121       0.5201   223.6
0.1200      -12459.7999  -12460.4030       0.6031   259.2
0.1210      -12459.8047  -12460.4875       0.6828   293.5
0.1220      -12459.8024  -12460.5021       0.6996   300.7
0.1230      -12459.7951  -12460.5004       0.7053   303.1
0.1240      -12459.8006  -12460.5842       0.7836   336.8
0.1250      -12459.8097  -12460.6792       0.8694   373.7
0.1260      -12459.8073  -12460.6386       0.8313   357.3
0.1270      -12459.7915  -12460.4968       0.7053   303.1
0.1280      -12459.7907  -12460.4590       0.6683   287.2
0.1290      -12459.8009  -12460.5454       0.7445   320.0
0.1300      -12459.8071  -12460.6093       0.8022   344.8
0.1310      -12459.8015  -12460.5678       0.7662   329.3
0.1320      -12459.7904  -12460.5223       0.7319   314.6
0.1330      -12459.8021  -12460.6192       0.8171   351.2
0.1340      -12459.8134  -12460.7050       0.8917   383.2
0.1350      -12459.8008  -12460.6218       0.8210   352.9
0.1360      -12459.7943  -12460.5145       0.7202   309.5
0.1370      -12459.7962  -12460.4818       0.6856   294.7
0.1380      -12459.7967  -12460.5011       0.7044   302.8
0.1390      -12459.8035  -12460.5488       0.7453   320.3
0.1400      -12459.8064  -12460.5345       0.7282   313.0
0.1410      -12459.7899  -12460.4588       0.6689   287.5
0.1420      -12459.7984  -12460.5340       0.7356   316.2
0.1430      -12459.8127  -12460.6555       0.8428   362.2
0.1440      -12459.8003  -12460.6328       0.8325   357.8
0.1450      -12459.7993  -12460.5899       0.7906   339.8
