Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000      -21628.5001  -21629.8878       1.3878   298.2
0.0010      -21628.5080  -21630.0648       1.5567   334.5
0.0020      -21628.5203  -21630.2963       1.7760   381.7
0.0030      -21628.5237  -21630.3962       1.8725   402.4
0.0040      -21628.5158  -21630.3083       1.7924   385.2
0.0050      -21628.5060  -21630.1485       1.6424   353.0
0.0060      -21628.5052  -21630.0615       1.5564   334.5
0.0070      -21628.5103  -21630.0670       1.5567   334.5
0.0080      -21628.5152  -21630.0889       1.5737   338.2
0.0090      -21628.5135  -21630.0586       1.5451   332.0
0.0100      -21628.5074  -21630.0048       1.4975   321.8
0.0110      -21628.5071  -21630.0168       1.5097   324.4
0.0120      -21628.5141  -21630.0983       1.5841   340.4
0.0130      -21628.5191  -21630.1467       1.6276   349.8
0.0140      -21628.5139  -21630.0900       1.5760   338.7
0.0150      -21628.5034  -21630.0052       1.5019   322.7
0.0160      -21628.5029  -21630.0419       1.5390   330.7
0.0170      -21628.5129  -21630.2063       1.6934   363.9
0.0180      -21628.5218  -21630.3472       1.8254   392.3
0.0190      -21628.5207  -21630.3277       1.8070   388.3
0.0200      -21628.5094  -21630.1674       1.6580   356.3
0.0210      -21628.5015  -21630.0322       1.5307   328.9
0.0220      -21628.5050  -21630.0427       1.5377   330.4
0.0230      -21628.5147  -21630.1485       1.6338   351.1
0.0240      -21628.5187  -21630.2069       1.6881   362.8
0.0250      -21628.5130  -21630.1565       1.6435   353.2
0.0260      -21628.5073  -21630.0783       1.5710   337.6
0.0270      -21628.5091  -21630.0557       1.5466   332.4
0.0280      -21628.5134  -21630.0676       1.5542   334.0
0.0290      -21628.5153  -21630.0483       1.5329   329.4
0.0300      -21628.5104  -21629.9755       1.4651   314.8
0.0310      -21628.5038  -21629.9272       1.4234   305.9
0.0320      -21628.5061  -21630.0001       1.4940   321.1
0.0330      -21628.5160  -21630.1600       1.6440   353.3
0.0340      -21628.5224  -21630.2587       1.7363   373.1
0.0350      -21628.5172  -21630.2003       1.6831   361.7
0.0360      -21628.5052  -21630.0625       1.5572   334.6
0.0370      -21628.5013  -21630.0166       1.5153   325.6
0.0380      -21628.5078  -21630.1224       1.6146   347.0
0.0390      -21628.5186  -21630.2777       1.7591   378.0
0.0400      -21628.5226  -21630.3191       1.7965   386.1
0.0410      -21628.5144  -21630.1915       1.6771   360.4
0.0420      -21628.5053  -21630.0156       1.5102   324.5
0.0430      -21628.5047  -21629.9307       1.4260   306.5
0.0440      -21628.5098  -21629.9551       1.4454   310.6
0.0450      -21628.5138  -21630.0142       1.5005   322.4
0.0460      -21628.5112  -21630.0495       1.5384   330.6
0.0470      -21628.5075  -21630.0936       1.5862   340.9
0.0480      -21628.5091  -21630.1958       1.6868   362.5
0.0490      -21628.5152  -21630.3276       1.8124   389.5
0.0500      -21628.5191  -21630.3954       1.8763   403.2
0.0510      -21628.5147  -21630.3444       1.8297   393.2
0.0520      -21628.5075  -21630.2402       1.7328   372.4
0.0530      -21628.5059  -21630.1904       1.6846   362.0
0.0540      -21628.5098  -21630.2235       1.7137   368.3
0.0550      -21628.5163  -21630.2777       1.7614   378.5
0.0560      -21628.5175  -21630.2572       1.7398   373.9
0.0570      -21628.5100  -21630.1480       1.6379   352.0
0.0580      -21628.5035  -21630.0555       1.5520   333.5
0.0590      -21628.5045  -21630.0757       1.5712   337.7
0.0600      -21628.5112  -21630.1937       1.6826   361.6
0.0610      -21628.5153  -21630.3131       1.7978   386.3
0.0620      -21628.5142  -21630.3725       1.8583   399.4
0.0630      -21628.5134  -21630.3849       1.8715   402.2
0.0640      -21628.5134  -21630.3657       1.8523   398.1
0.0650      -21628.5126  -21630.3188       1.8063   388.2
0.0660      -21628.5121  -21630.2538       1.7417   374.3
0.0670      -21628.5087  -21630.1809       1.6723   359.4
0.0680      -21628.5046  -21630.1494       1.6448   353.5
0.0690      -21628.5065  -21630.2138       1.7073   366.9
0.0700      -21628.5142  -21630.3429       1.8287   393.0
0.0710      -21628.5187  -21630.4250       1.9063   409.7
0.0720      -21628.5146  -21630.3979       1.8834   404.7
0.0730      -21628.5101  -21630.3179       1.8079   388.5
0.0740      -21628.5098  -21630.2514       1.7416   374.3
0.0750      -21628.5094  -21630.2085       1.6990   365.1
0.0760      -21628.5113  -21630.1881       1.6768   360.3
