Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000      -21628.4873  -21629.8751       1.3878   298.2
0.0010      -21628.4955  -21630.0544       1.5589   335.0
0.0020      -21628.5075  -21630.2866       1.7791   382.3
0.0030      -21628.5112  -21630.3880       1.8768   403.3
0.0040      -21628.5031  -21630.3005       1.7974   386.3
0.0050      -21628.4933  -21630.1432       1.6499   354.6
0.0060      -21628.4930  -21630.0604       1.5674   336.8
0.0070      -21628.4983  -21630.0634       1.5651   336.3
0.0080      -21628.5023  -21630.0749       1.5726   338.0
0.0090      -21628.5000  -21630.0384       1.5384   330.6
0.0100      -21628.4949  -21629.9899       1.4950   321.3
0.0110      -21628.4952  -21630.0046       1.5094   324.4
0.0120      -21628.5015  -21630.0781       1.5767   338.8
0.0130      -21628.5060  -21630.1179       1.6119   346.4
0.0140      -21628.5003  -21630.0608       1.5605   335.4
0.0150      -21628.4903  -21629.9916       1.5012   322.6
0.0160      -21628.4918  -21630.0479       1.5561   334.4
0.0170      -21628.5014  -21630.2087       1.7073   366.9
0.0180      -21628.5084  -21630.3274       1.8191   390.9
0.0190      -21628.5062  -21630.2961       1.7899   384.6
0.0200      -21628.4963  -21630.1497       1.6534   355.3
0.0210      -21628.4904  -21630.0358       1.5454   332.1
0.0220      -21628.4938  -21630.0464       1.5526   333.7
0.0230      -21628.5019  -21630.1328       1.6309   350.5
0.0240      -21628.5041  -21630.1771       1.6729   359.5
0.0250      -21628.4993  -21630.1432       1.6439   353.3
0.0260      -21628.4972  -21630.0953       1.5981   343.4
0.0270      -21628.4981  -21630.0681       1.5700   337.4
0.0280      -21628.4995  -21630.0486       1.5491   332.9
0.0290      -21628.5000  -21630.0136       1.5136   325.3
0.0300      -21628.4966  -21629.9615       1.4649   314.8
0.0310      -21628.4935  -21629.9468       1.4533   312.3
0.0320      -21628.4961  -21630.0171       1.5210   326.9
0.0330      -21628.5028  -21630.1340       1.6312   350.5
0.0340      -21628.5067  -21630.1969       1.6902   363.2
0.0350      -21628.5015  -21630.1508       1.6493   354.4
0.0360      -21628.4943  -21630.0681       1.5738   338.2
0.0370      -21628.4921  -21630.0543       1.5622   335.7
0.0380      -21628.4956  -21630.1407       1.6451   353.5
0.0390      -21628.5038  -21630.2652       1.7614   378.5
0.0400      -21628.5074  -21630.3061       1.7987   386.5
0.0410      -21628.5025  -21630.2115       1.7091   367.3
0.0420      -21628.4961  -21630.0549       1.5589   335.0
0.0430      -21628.4932  -21629.9396       1.4464   310.8
0.0440      -21628.4947  -21629.9160       1.4213   305.4
0.0450      -21628.4977  -21629.9645       1.4668   315.2
0.0460      -21628.4992  -21630.0375       1.5384   330.6
0.0470      -21628.4984  -21630.1083       1.6099   346.0
0.0480      -21628.4971  -21630.1836       1.6864   362.4
0.0490      -21628.4999  -21630.2727       1.7728   381.0
0.0500      -21628.5026  -21630.3345       1.8318   393.7
0.0510      -21628.5007  -21630.3309       1.8302   393.3
0.0520      -21628.4981  -21630.2884       1.7903   384.7
0.0530      -21628.4968  -21630.2501       1.7532   376.8
0.0540      -21628.4969  -21630.2394       1.7424   374.4
0.0550      -21628.5005  -21630.2519       1.7514   376.4
0.0560      -21628.5032  -21630.2353       1.7320   372.2
0.0570      -21628.4996  -21630.1508       1.6513   354.9
0.0580      -21628.4920  -21630.0528       1.5608   335.4
0.0590      -21628.4903  -21630.0471       1.5568   334.6
0.0600      -21628.4959  -21630.1576       1.6617   357.1
0.0610      -21628.5012  -21630.3041       1.8030   387.5
0.0620      -21628.5033  -21630.4064       1.9031   409.0
0.0630      -21628.5039  -21630.4301       1.9261   413.9
0.0640      -21628.5007  -21630.3733       1.8726   402.4
0.0650      -21628.4968  -21630.2872       1.7904   384.8
0.0660      -21628.4972  -21630.2279       1.7306   371.9
0.0670      -21628.4976  -21630.1926       1.6950   364.3
0.0680      -21628.4946  -21630.1766       1.6820   361.5
0.0690      -21628.4941  -21630.2173       1.7232   370.3
0.0700      -21628.4995  -21630.3162       1.8168   390.4
0.0710      -21628.5030  -21630.3974       1.8944   407.1
0.0720      -21628.5010  -21630.4100       1.9090   410.2
0.0730      -21628.4997  -21630.3766       1.8769   403.3
0.0740      -21628.4990  -21630.3192       1.8202   391.2
0.0750      -21628.4962  -21630.2538       1.7576   377.7
0.0760      -21628.4976  -21630.2156       1.7180   369.2
0.0770      -21628.5018  -21630.1845       1.6828   361.6
0.0780      -21628.4992  -21630.1068       1.6076   345.5
0.0790      -21628.4933  -21630.0157       1.5224   327.2
0.0800      -21628.4928  -21629.9902       1.4974   321.8
0.0810      -21628.4951  -21630.0412       1.5461   332.3
0.0820      -21628.4957  -21630.1375       1.6418   352.8
0.0830      -21628.4984  -21630.2636       1.7651   379.3
0.0840      -21628.5033  -21630.3775       1.8743   402.8
0.0850      -21628.5030  -21630.4167       1.9137   411.2
0.0860      -21628.5011  -21630.3834       1.8823   404.5
0.0870      -21628.5031  -21630.3009       1.7977   386.3
0.0880      -21628.5009  -21630.1475       1.6466   353.9
