Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000      -21628.5028  -21629.8906       1.3878   298.2
0.0010      -21628.5107  -21630.0665       1.5558   334.3
0.0020      -21628.5228  -21630.2971       1.7743   381.3
0.0030      -21628.5265  -21630.3984       1.8719   402.3
0.0040      -21628.5186  -21630.3121       1.7935   385.4
0.0050      -21628.5088  -21630.1525       1.6437   353.2
0.0060      -21628.5078  -21630.0645       1.5566   334.5
0.0070      -21628.5130  -21630.0689       1.5559   334.4
0.0080      -21628.5178  -21630.0896       1.5718   337.8
0.0090      -21628.5160  -21630.0596       1.5437   331.7
0.0100      -21628.5103  -21630.0089       1.4986   322.0
0.0110      -21628.5102  -21630.0199       1.5097   324.4
0.0120      -21628.5166  -21630.0951       1.5785   339.2
0.0130      -21628.5212  -21630.1407       1.6194   348.0
0.0140      -21628.5166  -21630.0886       1.5720   337.8
0.0150      -21628.5064  -21630.0090       1.5026   322.9
0.0160      -21628.5055  -21630.0464       1.5408   331.1
0.0170      -21628.5156  -21630.2106       1.6950   364.3
0.0180      -21628.5246  -21630.3506       1.8260   392.4
0.0190      -21628.5232  -21630.3293       1.8061   388.1
0.0200      -21628.5121  -21630.1696       1.6575   356.2
0.0210      -21628.5045  -21630.0348       1.5303   328.9
0.0220      -21628.5077  -21630.0403       1.5326   329.4
0.0230      -21628.5167  -21630.1412       1.6244   349.1
0.0240      -21628.5213  -21630.2018       1.6805   361.1
0.0250      -21628.5160  -21630.1552       1.6393   352.3
0.0260      -21628.5098  -21630.0765       1.5667   336.7
0.0270      -21628.5116  -21630.0549       1.5433   331.7
0.0280      -21628.5165  -21630.0698       1.5533   333.8
0.0290      -21628.5180  -21630.0492       1.5311   329.0
0.0300      -21628.5127  -21629.9750       1.4623   314.3
0.0310      -21628.5066  -21629.9307       1.4241   306.0
0.0320      -21628.5092  -21630.0052       1.4960   321.5
0.0330      -21628.5184  -21630.1598       1.6414   352.7
0.0340      -21628.5247  -21630.2551       1.7304   371.9
0.0350      -21628.5198  -21630.1978       1.6780   360.6
0.0360      -21628.5078  -21630.0606       1.5528   333.7
0.0370      -21628.5035  -21630.0161       1.5126   325.1
0.0380      -21628.5108  -21630.1272       1.6165   347.4
0.0390      -21628.5217  -21630.2831       1.7614   378.5
0.0400      -21628.5249  -21630.3190       1.7942   385.6
0.0410      -21628.5168  -21630.1896       1.6728   359.5
0.0420      -21628.5084  -21630.0142       1.5058   323.6
0.0430      -21628.5073  -21629.9251       1.4178   304.7
0.0440      -21628.5120  -21629.9453       1.4333   308.0
0.0450      -21628.5165  -21630.0054       1.4889   320.0
0.0460      -21628.5139  -21630.0419       1.5281   328.4
0.0470      -21628.5096  -21630.0878       1.5782   339.2
0.0480      -21628.5119  -21630.1986       1.6867   362.5
0.0490      -21628.5187  -21630.3371       1.8184   390.8
0.0500      -21628.5219  -21630.4009       1.8790   403.8
0.0510      -21628.5168  -21630.3437       1.8270   392.6
0.0520      -21628.5101  -21630.2403       1.7302   371.8
0.0530      -21628.5088  -21630.1922       1.6834   361.8
0.0540      -21628.5125  -21630.2230       1.7105   367.6
0.0550      -21628.5190  -21630.2739       1.7549   377.1
0.0560      -21628.5202  -21630.2490       1.7288   371.5
0.0570      -21628.5121  -21630.1350       1.6229   348.8
0.0580      -21628.5057  -21630.0455       1.5398   330.9
0.0590      -21628.5076  -21630.0749       1.5673   336.8
0.0600      -21628.5144  -21630.1953       1.6809   361.2
0.0610      -21628.5177  -21630.3088       1.7911   384.9
0.0620      -21628.5164  -21630.3656       1.8492   397.4
0.0630      -21628.5161  -21630.3815       1.8654   400.9
0.0640      -21628.5161  -21630.3658       1.8497   397.5
0.0650      -21628.5154  -21630.3209       1.8055   388.0
0.0660      -21628.5152  -21630.2545       1.7393   373.8
0.0670      -21628.5112  -21630.1750       1.6638   357.6
0.0680      -21628.5065  -21630.1400       1.6334   351.0
0.0690      -21628.5091  -21630.2110       1.7018   365.7
0.0700      -21628.5175  -21630.3470       1.8295   393.1
0.0710      -21628.5215  -21630.4272       1.9057   409.5
0.0720      -21628.5169  -21630.3955       1.8786   403.7
0.0730      -21628.5128  -21630.3137       1.8009   387.0
0.0740      -21628.5124  -21630.2444       1.7319   372.2
0.0750      -21628.5118  -21630.1988       1.6870   362.5
0.0760      -21628.5141  -21630.1801       1.6659   358.0
0.0770      -21628.5171  -21630.1523       1.6351   351.4
0.0780      -21628.5128  -21630.0792       1.5665   336.6
0.0790      -21628.5081  -21630.0188       1.5108   324.7
0.0800      -21628.5104  -21630.0337       1.5233   327.3
0.0810      -21628.5140  -21630.0928       1.5788   339.3
0.0820      -21628.5127  -21630.1471       1.6344   351.2
0.0830      -21628.5116  -21630.2133       1.7017   365.7
0.0840      -21628.5156  -21630.3053       1.7897   384.6
0.0850      -21628.5186  -21630.3701       1.8515   397.9
0.0860      -21628.5191  -21630.3618       1.8427   396.0
0.0870      -21628.5196  -21630.2668       1.7472   375.5
0.0880      -21628.5141  -21630.0860       1.5719   337.8
0.0890      -21628.5056  -21629.9014       1.3957   299.9
0.0900      -21628.5042  -21629.8338       1.3297   285.7
0.0910      -21628.5103  -21629.9052       1.3949   299.8
0.0920      -21628.5150  -21630.0287       1.5137   325.3
0.0930      -21628.5147  -21630.1339       1.6193   348.0
0.0940      -21628.5153  -21630.2170       1.7016   365.7
0.0950      -21628.5157  -21630.2704       1.7547   377.1
0.0960      -21628.5134  -21630.2919       1.7785   382.2
0.0970      -21628.5141  -21630.3097       1.7956   385.9
0.0980      -21628.5164  -21630.3145       1.7981   386.4
0.0990      -21628.5140  -21630.2785       1.7645   379.2
0.1000      -21628.5114  -21630.2334       1.7221   370.1
0.1010      -21628.5136  -21630.2147       1.7012   365.6
0.1020      -21628.5157  -21630.1951       1.6793   360.9
0.1030      -21628.5127  -21630.1482       1.6355   351.5
0.1040      -21628.5102  -21630.1157       1.6055   345.0
0.1050      -21628.5114  -21630.1374       1.6261   349.4
0.1060      -21628.5122  -21630.2054       1.6932   363.9
0.1070      -21628.5148  -21630.3047       1.7899   384.7
0.1080      -21628.5204  -21630.3889       1.8685   401.5
0.1090      -21628.5200  -21630.3759       1.8559   398.8
0.1100      -21628.5137  -21630.2644       1.7507   376.2
0.1110      -21628.5091  -21630.1399       1.6308   350.5
0.1120      -21628.5081  -21630.0734       1.5653   336.4
0.1130      -21628.5084  -21630.0858       1.5773   339.0
0.1140      -21628.5111  -21630.1720       1.6609   356.9
0.1150      -21628.5172  -21630.2882       1.7711   380.6
0.1160      -21628.5186  -21630.3512       1.8326   393.8
0.1170      -21628.5150  -21630.3409       1.8259   392.4
0.1180      -21628.5152  -21630.3034       1.7883   384.3
0.1190      -21628.5159  -21630.2419       1.7260   370.9
0.1200      -21628.5130  -21630.1495       1.6365   351.7
0.1210      -21628.5114  -21630.0616       1.5502   333.1
0.1220      -21628.5125  -21629.9992       1.4867   319.5
0.1230      -21628.5129  -21629.9469       1.4339   308.2
0.1240      -21628.5111  -21629.9003       1.3892   298.5
0.1250      -21628.5115  -21629.8822       1.3707   294.6
0.1260      -21628.5121  -21629.8900       1.3779   296.1
0.1270      -21628.5089  -21629.9220       1.4130   303.7
0.1280      -21628.5084  -21630.0217       1.5133   325.2
0.1290      -21628.5146  -21630.1912       1.6767   360.3
0.1300      -21628.5197  -21630.3410       1.8213   391.4
0.1310      -21628.5206  -21630.3888       1.8682   401.5
0.1320      -21628.5181  -21630.3184       1.8003   386.9
0.1330      -21628.5134  -21630.1704       1.6570   356.1
0.1340      -21628.5082  -21630.0223       1.5141   325.4
0.1350      -21628.5081  -21629.9516       1.4434   310.2
0.1360      -21628.5135  -21629.9599       1.4465   310.8
0.1370      -21628.5147  -21629.9769       1.4622   314.2
0.1380      -21628.5115  -21629.9846       1.4731   316.6
0.1390      -21628.5128  -21630.0212       1.5084   324.1
0.1400      -21628.5155  -21630.0702       1.5548   334.1
0.1410      -21628.5142  -21630.0944       1.5802   339.6
0.1420      -21628.5119  -21630.1061       1.5943   342.6
0.1430      -21628.5106  -21630.1378       1.6272   349.7
0.1440      -21628.5106  -21630.2091       1.6984   365.0
0.1450      -21628.5135  -21630.3175       1.8040   387.7
0.1460      -21628.5205  -21630.4141       1.8936   406.9
0.1470      -21628.5219  -21630.4013       1.8794   403.9
0.1480      -21628.5123  -21630.2693       1.7570   377.6
0.1490      -21628.5059  -21630.1569       1.6510   354.8
0.1500      -21628.5097  -21630.1603       1.6506   354.7
0.1510      -21628.5150  -21630.2313       1.7163   368.8
0.1520      -21628.5185  -21630.2827       1.7642   379.1
0.1530      -21628.5178  -21630.2560       1.7383   373.5
0.1540      -21628.5131  -21630.1580       1.6450   353.5
0.1550      -21628.5085  -21630.0571       1.5486   332.8
0.1560      -21628.5098  -21630.0181       1.5083   324.1
0.1570      -21628.5143  -21630.0241       1.5098   324.5
0.1580      -21628.5123  -21630.0189       1.5065   323.8
0.1590      -21628.5077  -21630.0313       1.5237   327.4
