Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000      -18857.4115  -18859.2319       1.8205   391.2
0.0010      -18857.4033  -18859.2585       1.8552   398.7
0.0020      -18857.4159  -18859.3531       1.9371   416.3
0.0030      -18857.4150  -18859.3711       1.9561   420.4
0.0040      -18857.4106  -18859.3017       1.8910   406.4
0.0050      -18857.4124  -18859.1992       1.7868   384.0
0.0060      -18857.4066  -18859.0556       1.6491   354.4
0.0070      -18857.4061  -18858.9426       1.5365   330.2
0.0080      -18857.4090  -18858.8730       1.4639   314.6
0.0090      -18857.4023  -18858.8253       1.4230   305.8
0.0100      -18857.4022  -18858.8986       1.4964   321.6
0.0110      -18857.4177  -18859.0795       1.6619   357.1
0.0120      -18857.4084  -18859.1817       1.7733   381.1
0.0130      -18857.4056  -18859.2926       1.8870   405.5
0.0140      -18857.4144  -18859.4448       2.0304   436.3
0.0150      -18857.4131  -18859.5222       2.1091   453.2
0.0160      -18857.4131  -18859.5172       2.1041   452.2
0.0170      -18857.4142  -18859.4288       2.0147   432.9
0.0180      -18857.4058  -18859.2670       1.8612   400.0
0.0190      -18857.4072  -18859.1515       1.7442   374.8
0.0200      -18857.4155  -18859.0705       1.6551   355.7
0.0210      -18857.4050  -18858.9334       1.5284   328.4
0.0220      -18857.3957  -18858.8829       1.4872   319.6
0.0230      -18857.4069  -18859.0354       1.6286   350.0
0.0240      -18857.4152  -18859.2344       1.8191   390.9
0.0250      -18857.4140  -18859.3361       1.9221   413.1
0.0260      -18857.4086  -18859.3501       1.9415   417.2
0.0270      -18857.4017  -18859.3739       1.9723   423.8
0.0280      -18857.4149  -18859.4940       2.0791   446.8
0.0290      -18857.4275  -18859.5301       2.1027   451.9
0.0300      -18857.4111  -18859.3263       1.9152   411.6
0.0310      -18857.3970  -18859.1053       1.7083   367.1
0.0320      -18857.4016  -18859.0751       1.6735   359.6
0.0330      -18857.4083  -18859.1822       1.7739   381.2
0.0340      -18857.4170  -18859.2995       1.8825   404.5
0.0350      -18857.4154  -18859.2969       1.8816   404.4
0.0360      -18857.3989  -18859.2186       1.8196   391.0
0.0370      -18857.4072  -18859.2727       1.8656   400.9
0.0380      -18857.4179  -18859.3670       1.9491   418.9
0.0390      -18857.4157  -18859.3427       1.9270   414.1
0.0400      -18857.4105  -18859.2237       1.8132   389.7
0.0410      -18857.4060  -18859.0962       1.6902   363.2
0.0420      -18857.4029  -18859.0323       1.6294   350.1
0.0430      -18857.4063  -18859.0698       1.6636   357.5
0.0440      -18857.4097  -18859.1579       1.7482   375.7
0.0450      -18857.4062  -18859.2549       1.8487   397.3
0.0460      -18857.4165  -18859.3765       1.9600   421.2
0.0470      -18857.4142  -18859.3963       1.9821   426.0
0.0480      -18857.4038  -18859.3361       1.9323   415.3
0.0490      -18857.4036  -18859.3450       1.9414   417.2
0.0500      -18857.4183  -18859.4189       2.0007   429.9
0.0510      -18857.4206  -18859.3620       1.9414   417.2
0.0520      -18857.4102  -18859.1277       1.7175   369.1
0.0530      -18857.3938  -18858.8819       1.4881   319.8
0.0540      -18857.3922  -18858.8687       1.4765   317.3
0.0550      -18857.4145  -18859.0942       1.6796   361.0
0.0560      -18857.4180  -18859.2571       1.8391   395.2
0.0570      -18857.4068  -18859.2816       1.8747   402.9
0.0580      -18857.3991  -18859.3326       1.9335   415.5
0.0590      -18857.4084  -18859.5236       2.1152   454.6
0.0600      -18857.4182  -18859.7365       2.3183   498.2
0.0610      -18857.4262  -18859.8067       2.3804   511.5
0.0620      -18857.4155  -18859.6323       2.2169   476.4
0.0630      -18857.3998  -18859.3723       1.9725   423.9
0.0640      -18857.4034  -18859.2431       1.8396   395.3
0.0650      -18857.4092  -18859.2116       1.8025   387.4
0.0660      -18857.4124  -18859.1784       1.7660   379.5
0.0670      -18857.4032  -18859.1082       1.7050   366.4
0.0680      -18857.4005  -18859.1230       1.7225   370.2
0.0690      -18857.4063  -18859.2697       1.8635   400.5
0.0700      -18857.4170  -18859.4596       2.0426   439.0
0.0710      -18857.4197  -18859.5451       2.1254   456.7
0.0720      -18857.4107  -18859.5037       2.0930   449.8
0.0730      -18857.4140  -18859.4441       2.0301   436.3
0.0740      -18857.4118  -18859.3391       1.9272   414.2
0.0750      -18857.4072  -18859.2018       1.7945   385.6
0.0760      -18857.4024  -18859.1020       1.6996   365.2
0.0770      -18857.4071  -18859.0994       1.6922   363.7
0.0780      -18857.4111  -18859.1345       1.7234   370.4
0.0790      -18857.4100  -18859.1470       1.7370   373.3
0.0800      -18857.4031  -18859.1624       1.7593   378.1
0.0810      -18857.4052  -18859.2864       1.8812   404.3
0.0820      -18857.4220  -18859.4739       2.0519   441.0
0.0830      -18857.4207  -18859.4972       2.0765   446.2
0.0840      -18857.4132  -18859.3458       1.9327   415.3
0.0850      -18857.3997  -18859.1453       1.7455   375.1
0.0860      -18857.3982  -18859.0860       1.6878   362.7
0.0870      -18857.4127  -18859.1833       1.7706   380.5
0.0880      -18857.4219  -18859.2230       1.8012   387.1
0.0890      -18857.4031  -18859.0973       1.6943   364.1
0.0900      -18857.3914  -18859.0678       1.6764   360.2
0.0910      -18857.4086  -18859.2991       1.8905   406.3
0.0920      -18857.4238  -18859.5586       2.1348   458.8
0.0930      -18857.4254  -18859.6053       2.1799   468.5
0.0940      -18857.4073  -18859.4277       2.0205   434.2
0.0950      -18857.4012  -18859.2723       1.8711   402.1
0.0960      -18857.4088  -18859.2341       1.8253   392.3
0.0970      -18857.4162  -18859.1956       1.7794   382.4
0.0980      -18857.4098  -18859.0474       1.6376   351.9
0.0990      -18857.3956  -18858.8935       1.4978   321.9
