Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000      -18857.4337  -18859.2541       1.8205   391.2
0.0010      -18857.4252  -18859.2762       1.8510   397.8
0.0020      -18857.4371  -18859.3649       1.9278   414.3
0.0030      -18857.4364  -18859.3839       1.9475   418.5
0.0040      -18857.4323  -18859.3180       1.8857   405.2
0.0050      -18857.4342  -18859.2173       1.7831   383.2
0.0060      -18857.4284  -18859.0719       1.6435   353.2
0.0070      -18857.4267  -18858.9551       1.5284   328.4
0.0080      -18857.4305  -18858.8948       1.4642   314.7
0.0090      -18857.4259  -18858.8569       1.4310   307.5
0.0100      -18857.4233  -18858.9112       1.4879   319.8
0.0110      -18857.4369  -18859.0754       1.6385   352.1
0.0120      -18857.4309  -18859.1854       1.7545   377.0
0.0130      -18857.4271  -18859.2939       1.8668   401.2
0.0140      -18857.4355  -18859.4431       2.0076   431.4
0.0150      -18857.4349  -18859.5244       2.0895   449.0
0.0160      -18857.4340  -18859.5258       2.0918   449.5
0.0170      -18857.4362  -18859.4581       2.0219   434.5
0.0180      -18857.4313  -18859.3089       1.8776   403.5
0.0190      -18857.4275  -18859.1610       1.7336   372.5
0.0200      -18857.4347  -18859.0658       1.6311   350.5
0.0210      -18857.4287  -18858.9492       1.5205   326.7
0.0220      -18857.4199  -18858.8912       1.4712   316.2
0.0230      -18857.4268  -18859.0011       1.5743   338.3
0.0240      -18857.4347  -18859.1797       1.7450   375.0
0.0250      -18857.4329  -18859.3015       1.8687   401.6
0.0260      -18857.4320  -18859.3731       1.9411   417.1
0.0270      -18857.4291  -18859.4221       1.9930   428.3
0.0280      -18857.4320  -18859.5000       2.0680   444.4
0.0290      -18857.4475  -18859.5485       2.1009   451.5
0.0300      -18857.4374  -18859.3861       1.9486   418.8
0.0310      -18857.4211  -18859.1461       1.7250   370.7
0.0320      -18857.4209  -18859.0599       1.6389   352.2
0.0330      -18857.4273  -18859.1413       1.7140   368.3
0.0340      -18857.4372  -18859.2700       1.8328   393.9
0.0350      -18857.4395  -18859.2926       1.8531   398.2
0.0360      -18857.4239  -18859.1931       1.7692   380.2
0.0370      -18857.4183  -18859.1943       1.7760   381.7
0.0380      -18857.4383  -18859.3645       1.9263   414.0
0.0390      -18857.4458  -18859.4372       1.9913   427.9
0.0400      -18857.4357  -18859.2910       1.8553   398.7
0.0410      -18857.4218  -18859.0753       1.6536   355.4
0.0420      -18857.4194  -18858.9959       1.5765   338.8
0.0430      -18857.4280  -18859.0890       1.6611   357.0
0.0440      -18857.4381  -18859.2209       1.7828   383.1
0.0450      -18857.4316  -18859.2537       1.8221   391.6
0.0460      -18857.4260  -18859.2721       1.8461   396.7
0.0470      -18857.4343  -18859.3449       1.9106   410.6
0.0480      -18857.4315  -18859.3722       1.9408   417.1
0.0490      -18857.4293  -18859.3801       1.9508   419.2
0.0500      -18857.4369  -18859.3951       1.9581   420.8
0.0510      -18857.4399  -18859.3156       1.8757   403.1
0.0520      -18857.4299  -18859.1063       1.6765   360.3
0.0530      -18857.4221  -18858.9041       1.4819   318.5
0.0540      -18857.4151  -18858.8503       1.4352   308.4
0.0550      -18857.4281  -18859.0279       1.5999   343.8
0.0560      -18857.4413  -18859.2492       1.8079   388.5
0.0570      -18857.4344  -18859.3150       1.8806   404.1
0.0580      -18857.4225  -18859.3192       1.8967   407.6
0.0590      -18857.4222  -18859.4449       2.0227   434.7
0.0600      -18857.4369  -18859.7022       2.2653   486.8
0.0610      -18857.4540  -18859.8652       2.4111   518.2
0.0620      -18857.4456  -18859.6933       2.2477   483.0
0.0630      -18857.4166  -18859.3176       1.9010   408.5
0.0640      -18857.4138  -18859.1396       1.7259   370.9
0.0650      -18857.4331  -18859.2117       1.7786   382.2
0.0660      -18857.4416  -18859.2618       1.8201   391.1
0.0670      -18857.4314  -18859.1556       1.7242   370.5
0.0680      -18857.4147  -18859.0496       1.6349   351.3
0.0690      -18857.4195  -18859.1815       1.7620   378.7
0.0700      -18857.4369  -18859.4939       2.0570   442.0
0.0710      -18857.4517  -18859.7235       2.2718   488.2
0.0720      -18857.4459  -18859.6562       2.2103   475.0
0.0730      -18857.4223  -18859.3998       1.9776   425.0
0.0740      -18857.4229  -18859.2721       1.8491   397.4
0.0750      -18857.4350  -18859.2782       1.8432   396.1
0.0760      -18857.4376  -18859.2371       1.7995   386.7
0.0770      -18857.4256  -18859.1116       1.6860   362.3
0.0780      -18857.4229  -18859.0589       1.6360   351.6
0.0790      -18857.4278  -18859.1313       1.7035   366.1
0.0800      -18857.4349  -18859.2518       1.8169   390.5
0.0810      -18857.4292  -18859.3355       1.9063   409.7
0.0820      -18857.4321  -18859.4530       2.0209   434.3
0.0830      -18857.4470  -18859.5534       2.1064   452.7
0.0840      -18857.4384  -18859.4422       2.0038   430.6
0.0850      -18857.4241  -18859.2219       1.7979   386.4
0.0860      -18857.4172  -18859.1085       1.6912   363.4
0.0870      -18857.4292  -18859.1927       1.7635   379.0
0.0880      -18857.4412  -18859.3024       1.8612   400.0
0.0890      -18857.4346  -18859.2609       1.8263   392.5
0.0900      -18857.4187  -18859.1623       1.7435   374.7
0.0910      -18857.4143  -18859.2537       1.8394   395.3
0.0920      -18857.4406  -18859.5760       2.1354   458.9
0.0930      -18857.4588  -18859.7537       2.2949   493.2
0.0940      -18857.4423  -18859.5246       2.0824   447.5
0.0950      -18857.4106  -18859.1384       1.7279   371.3
0.0960      -18857.4145  -18859.0365       1.6221   348.6
0.0970      -18857.4380  -18859.1762       1.7382   373.5
0.0980      -18857.4454  -18859.2141       1.7687   380.1
0.0990      -18857.4299  -18859.0281       1.5982   343.4
0.1000      -18857.4036  -18858.8636       1.4600   313.8
0.1010      -18857.4180  -18859.0729       1.6549   355.6
0.1020      -18857.4489  -18859.4575       2.0087   431.7
0.1030      -18857.4498  -18859.5736       2.1238   456.4
0.1040      -18857.4291  -18859.3987       1.9696   423.3
0.1050      -18857.4222  -18859.2303       1.8080   388.5
0.1060      -18857.4295  -18859.1860       1.7565   377.5
0.1070      -18857.4376  -18859.1574       1.7199   369.6
0.1080      -18857.4349  -18859.0215       1.5866   341.0
0.1090      -18857.4188  -18858.8330       1.4141   303.9
0.1100      -18857.4223  -18858.8046       1.3823   297.0
0.1110      -18857.4328  -18858.9039       1.4711   316.1
0.1120      -18857.4303  -18858.9841       1.5538   333.9
0.1130      -18857.4212  -18859.0843       1.6631   357.4
0.1140      -18857.4378  -18859.3019       1.8641   400.6
0.1150      -18857.4499  -18859.4152       1.9653   422.3
0.1160      -18857.4352  -18859.2550       1.8198   391.1
0.1170      -18857.4221  -18859.0156       1.5935   342.4
0.1180      -18857.4175  -18858.9163       1.4988   322.1
0.1190      -18857.4356  -18859.0042       1.5686   337.1
0.1200      -18857.4462  -18859.0224       1.5762   338.7
0.1210      -18857.4252  -18858.8264       1.4012   301.1
0.1220      -18857.4052  -18858.7156       1.3105   281.6
0.1230      -18857.4231  -18858.9663       1.5433   331.6
0.1240      -18857.4461  -18859.3398       1.8937   407.0
0.1250      -18857.4514  -18859.4824       2.0310   436.5
0.1260      -18857.4349  -18859.3161       1.8811   404.3
0.1270      -18857.4101  -18859.1106       1.7005   365.4
0.1280      -18857.4297  -18859.1894       1.7597   378.1
0.1290      -18857.4530  -18859.2910       1.8380   395.0
0.1300      -18857.4362  -18859.0828       1.6466   353.9
0.1310      -18857.4085  -18858.7989       1.3904   298.8
0.1320      -18857.4180  -18858.8183       1.4003   300.9
0.1330      -18857.4361  -18859.0374       1.6013   344.1
0.1340      -18857.4384  -18859.1921       1.7537   376.9
0.1350      -18857.4340  -18859.2370       1.8030   387.5
0.1360      -18857.4282  -18859.2497       1.8215   391.4
