Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000      -18857.4008  -18859.2213       1.8205   391.2
0.0010      -18857.3924  -18859.2464       1.8540   398.4
0.0020      -18857.4053  -18859.3443       1.9390   416.7
0.0030      -18857.4049  -18859.3667       1.9618   421.6
0.0040      -18857.4001  -18859.2946       1.8945   407.1
0.0050      -18857.4011  -18859.1870       1.7859   383.8
0.0060      -18857.3957  -18859.0462       1.6504   354.7
0.0070      -18857.3957  -18858.9384       1.5426   331.5
0.0080      -18857.3990  -18858.8686       1.4696   315.8
0.0090      -18857.3916  -18858.8118       1.4203   305.2
0.0100      -18857.3895  -18858.8779       1.4884   319.9
0.0110      -18857.4064  -18859.0773       1.6709   359.1
0.0120      -18857.4008  -18859.2009       1.8001   386.8
0.0130      -18857.3944  -18859.2932       1.8988   408.0
0.0140      -18857.4011  -18859.4320       2.0309   436.4
0.0150      -18857.4029  -18859.5299       2.1270   457.1
0.0160      -18857.4035  -18859.5415       2.1381   459.5
0.0170      -18857.4043  -18859.4542       2.0500   440.5
0.0180      -18857.3954  -18859.2791       1.8836   404.8
0.0190      -18857.3930  -18859.1497       1.7567   377.5
0.0200      -18857.4038  -18859.1006       1.6969   364.7
0.0210      -18857.3996  -18859.0040       1.6045   344.8
0.0220      -18857.3865  -18858.9204       1.5339   329.6
0.0230      -18857.3905  -18859.0220       1.6315   350.6
0.0240      -18857.4043  -18859.2460       1.8418   395.8
0.0250      -18857.4062  -18859.3864       1.9801   425.5
0.0260      -18857.4007  -18859.3958       1.9951   428.7
0.0270      -18857.3905  -18859.3684       1.9779   425.1
0.0280      -18857.3972  -18859.4491       2.0519   440.9
0.0290      -18857.4160  -18859.5375       2.1216   455.9
0.0300      -18857.4072  -18859.3947       1.9875   427.1
0.0310      -18857.3886  -18859.1367       1.7481   375.7
0.0320      -18857.3837  -18859.0385       1.6548   355.6
0.0330      -18857.3955  -18859.1738       1.7784   382.2
0.0340      -18857.4093  -18859.3599       1.9506   419.2
0.0350      -18857.4108  -18859.3781       1.9673   422.8
0.0360      -18857.3895  -18859.2242       1.8347   394.3
0.0370      -18857.3850  -18859.1962       1.8111   389.2
0.0380      -18857.4059  -18859.3553       1.9493   418.9
0.0390      -18857.4130  -18859.4148       2.0019   430.2
0.0400      -18857.4043  -18859.2558       1.8515   397.9
0.0410      -18857.3867  -18859.0220       1.6353   351.4
0.0420      -18857.3866  -18858.9651       1.5784   339.2
0.0430      -18857.3989  -18859.0965       1.6976   364.8
0.0440      -18857.4068  -18859.2303       1.8235   391.9
0.0450      -18857.3953  -18859.2619       1.8666   401.1
0.0460      -18857.3976  -18859.3260       1.9284   414.4
0.0470      -18857.4027  -18859.4024       1.9996   429.7
0.0480      -18857.3964  -18859.4170       2.0206   434.2
0.0490      -18857.3993  -18859.4352       2.0359   437.5
0.0500      -18857.4020  -18859.4337       2.0316   436.6
0.0510      -18857.4034  -18859.3720       1.9687   423.1
0.0520      -18857.4022  -18859.2309       1.8287   393.0
0.0530      -18857.3933  -18859.0342       1.6409   352.6
0.0540      -18857.3789  -18858.9324       1.5535   333.8
0.0550      -18857.3945  -18859.0972       1.7028   365.9
0.0560      -18857.4076  -18859.3240       1.9164   411.8
0.0570      -18857.4016  -18859.4106       2.0090   431.7
0.0580      -18857.3949  -18859.4251       2.0303   436.3
0.0590      -18857.3884  -18859.4926       2.1043   452.2
0.0600      -18857.3987  -18859.7053       2.3067   495.7
0.0610      -18857.4194  -18859.9078       2.4884   534.8
0.0620      -18857.4183  -18859.8075       2.3892   513.4
0.0630      -18857.3910  -18859.4297       2.0387   438.1
0.0640      -18857.3796  -18859.1592       1.7796   382.4
0.0650      -18857.3949  -18859.1624       1.7675   379.8
