epoch, wall, LR,training_loss_f,training_loss_e,training_loss,training_f_mae,training_f_rmse,training_H_f_mae,training_C_f_mae,training_N_f_mae,training_O_f_mae,training_psavg_f_mae,training_H_f_rmse,training_C_f_rmse,training_N_f_rmse,training_O_f_rmse,training_psavg_f_rmse,training_e_mae,training_e/N_mae,validation_loss_f,validation_loss_e,validation_loss,validation_f_mae,validation_f_rmse,validation_H_f_mae,validation_C_f_mae,validation_N_f_mae,validation_O_f_mae,validation_psavg_f_mae,validation_H_f_rmse,validation_C_f_rmse,validation_N_f_rmse,validation_O_f_rmse,validation_psavg_f_rmse,validation_e_mae,validation_e/N_mae
         1,   76.244,     0.01,           0.1739,        0.0014876,          0.17539,         6.67,         12.5,         5.82,            0,            0,         8.35,         3.54,           11,            0,            0,         15.2,         6.55,         7.05,        0.783,         0.010447,       9.2096e-05,         0.010539,         2.16,         3.08,         1.96,            0,            0,         2.56,         1.13,         2.81,            0,            0,         3.54,         1.59,            2,        0.222
         2,  128.065,     0.01,        0.0076481,       0.00012518,        0.0077733,         1.91,         2.63,         1.73,            0,            0,         2.27,            1,         2.39,            0,            0,         3.05,         1.36,         2.42,        0.268,        0.0040311,       3.0333e-05,        0.0040615,         1.33,         1.91,         1.21,            0,            0,         1.58,        0.698,         1.75,            0,            0,         2.19,        0.986,         1.19,        0.132
         3,  179.441,     0.01,        0.0042831,       5.5073e-05,        0.0043381,         1.43,         1.97,          1.3,            0,            0,          1.7,         0.75,         1.79,            0,            0,         2.28,         1.02,         1.58,        0.176,        0.0024067,       1.7463e-05,        0.0024242,         1.02,         1.48,        0.917,            0,            0,         1.23,        0.537,         1.33,            0,            0,         1.73,        0.765,         0.89,       0.0989
         4,  230.612,     0.01,        0.0035569,       7.0781e-05,        0.0036277,          1.3,         1.79,         1.18,            0,            0,         1.55,        0.682,         1.64,            0,            0,         2.07,        0.928,         1.84,        0.204,        0.0017181,       1.0574e-05,        0.0017287,        0.853,         1.25,        0.767,            0,            0,         1.02,        0.448,         1.13,            0,            0,         1.45,        0.646,        0.688,       0.0764
         5,  281.988,     0.01,        0.0031283,       5.3149e-05,        0.0031814,         1.22,         1.68,         1.11,            0,            0,         1.44,        0.638,         1.54,            0,            0,         1.93,        0.869,         1.62,         0.18,        0.0013583,       7.3386e-06,        0.0013656,        0.748,         1.11,        0.672,            0,            0,        0.899,        0.393,         1.01,            0,            0,         1.29,        0.574,        0.567,       0.0629
         6,  333.243,     0.01,        0.0029606,       3.5288e-05,        0.0029959,         1.16,         1.64,         1.06,            0,            0,         1.38,         0.61,         1.49,            0,            0,          1.9,        0.847,         1.23,        0.136,        0.0011521,       5.1012e-06,        0.0011572,        0.682,         1.02,        0.615,            0,            0,        0.815,        0.358,        0.933,            0,            0,         1.18,        0.528,        0.469,       0.0521
         7,  384.442,     0.01,        0.0016192,       2.2017e-05,        0.0016412,        0.879,         1.21,          0.8,            0,            0,         1.04,        0.459,         1.11,            0,            0,         1.39,        0.625,        0.984,        0.109,       0.00091401,       3.5249e-06,       0.00091753,        0.601,         0.91,        0.543,            0,            0,        0.717,        0.315,        0.832,            0,            0,         1.05,         0.47,         0.39,       0.0434
         8,  435.635,     0.01,        0.0018055,       2.2441e-05,        0.0018279,        0.935,         1.28,         0.85,            0,            0,          1.1,        0.489,         1.17,            0,            0,         1.48,        0.661,         1.03,        0.115,       0.00078446,       2.5887e-06,       0.00078705,        0.554,        0.843,          0.5,            0,            0,         0.66,         0.29,        0.772,            0,            0,         0.97,        0.435,        0.332,       0.0369
         9,  486.964,     0.01,        0.0015473,       1.9095e-05,        0.0015664,        0.831,         1.18,        0.754,            0,            0,        0.985,        0.435,         1.08,            0,            0,         1.36,        0.611,        0.938,        0.104,       0.00069006,       2.1519e-06,       0.00069221,        0.515,        0.791,        0.464,            0,            0,        0.615,         0.27,        0.721,            0,            0,        0.914,        0.409,        0.301,       0.0334
        10,  538.462,     0.01,        0.0012615,        1.776e-05,        0.0012792,        0.751,         1.07,         0.68,            0,            0,        0.893,        0.393,        0.976,            0,            0,         1.23,        0.552,         0.87,       0.0967,       0.00061899,       1.9427e-06,       0.00062093,        0.479,        0.749,        0.433,            0,            0,        0.572,        0.251,        0.684,            0,            0,        0.864,        0.387,        0.284,       0.0315
