epoch, wall, LR,training_loss_f,training_loss_e,training_loss,training_f_mae,training_f_rmse,training_H_f_mae,training_C_f_mae,training_N_f_mae,training_psavg_f_mae,training_H_f_rmse,training_C_f_rmse,training_N_f_rmse,training_psavg_f_rmse,training_e_mae,training_e/N_mae,validation_loss_f,validation_loss_e,validation_loss,validation_f_mae,validation_f_rmse,validation_H_f_mae,validation_C_f_mae,validation_N_f_mae,validation_psavg_f_mae,validation_H_f_rmse,validation_C_f_rmse,validation_N_f_rmse,validation_psavg_f_rmse,validation_e_mae,validation_e/N_mae
         1,  108.244,     0.01,          0.18084,        0.0013246,          0.18217,         7.92,         14.8,          5.1,         10.9,         10.3,          8.8,         9.53,         19.1,         17.9,         15.5,         14.3,        0.794,        0.0061809,       3.7121e-05,         0.006218,         1.85,         2.74,         1.43,         2.47,         1.85,         1.92,         2.07,         3.48,         2.84,          2.8,         3.05,        0.169
         2,  179.711,     0.01,        0.0057992,       6.7005e-05,        0.0058662,         1.79,         2.66,         1.15,          2.4,         2.49,         2.01,         1.62,         3.35,         3.48,         2.81,         4.11,        0.229,        0.0026095,       1.7219e-05,        0.0026267,         1.15,         1.78,        0.823,         1.57,          1.3,         1.23,         1.25,         2.27,         2.01,         1.84,         2.06,        0.114
         3,  251.418,     0.01,        0.0045258,       5.6709e-05,        0.0045825,         1.55,         2.35,        0.936,          2.1,         2.27,         1.77,         1.32,         2.96,         3.22,          2.5,         3.72,        0.207,        0.0017897,       1.3221e-05,        0.0018029,        0.943,         1.48,        0.658,         1.27,         1.14,         1.02,         1.01,         1.86,         1.76,         1.54,         1.87,        0.104
         4,  323.238,     0.01,        0.0025736,       3.6589e-05,        0.0026102,         1.18,         1.77,        0.771,         1.57,         1.62,         1.32,         1.07,         2.21,         2.36,         1.88,         3.01,        0.167,        0.0012243,       8.9196e-06,        0.0012332,         0.77,         1.22,        0.546,         1.03,        0.926,        0.834,        0.846,         1.52,         1.47,         1.28,         1.49,       0.0829
         5,  394.986,     0.01,        0.0017383,       2.5425e-05,        0.0017637,        0.987,         1.45,        0.656,         1.29,         1.37,         1.11,        0.918,         1.79,         1.93,         1.55,         2.52,         0.14,       0.00091553,        6.541e-06,       0.00092207,        0.658,         1.06,        0.466,         0.87,        0.809,        0.715,        0.734,          1.3,         1.29,         1.11,         1.26,       0.0702
         6,  466.771,     0.01,        0.0017011,       2.5722e-05,        0.0017268,        0.957,         1.44,        0.618,         1.28,         1.34,         1.08,        0.858,          1.8,         1.93,         1.53,         2.52,         0.14,       0.00072421,       5.1948e-06,        0.0007294,        0.581,        0.939,        0.413,        0.757,         0.73,        0.633,        0.658,         1.14,         1.17,        0.992,         1.12,       0.0623
         7,  538.585,     0.01,        0.0034666,       4.4408e-05,         0.003511,         1.32,         2.05,        0.716,         1.78,         2.19,         1.56,        0.984,         2.58,         3.02,         2.19,         3.12,        0.173,       0.00068846,       4.6069e-06,       0.00069307,        0.566,        0.915,        0.398,        0.736,         0.73,        0.621,        0.632,         1.11,         1.17,        0.971,         1.05,       0.0584
         8,  610.416,     0.01,        0.0013611,       1.9111e-05,        0.0013802,        0.871,         1.29,        0.585,         1.13,          1.2,        0.974,        0.812,         1.58,         1.73,         1.37,         2.15,         0.12,       0.00056688,       3.9829e-06,       0.00057086,         0.51,        0.831,        0.366,        0.654,        0.657,        0.559,        0.584,        0.995,         1.07,        0.882,        0.967,       0.0537
         9,  682.344,     0.01,        0.0015234,       2.8159e-05,        0.0015515,        0.904,         1.36,        0.545,          1.2,         1.38,         1.04,        0.759,         1.69,         1.92,         1.46,          2.6,        0.145,       0.00048925,       3.4523e-06,        0.0004927,        0.474,        0.772,        0.339,        0.604,        0.618,        0.521,        0.545,        0.917,            1,        0.821,        0.901,       0.0501
        10,  754.361,     0.01,        0.0016278,       2.8763e-05,        0.0016566,        0.925,         1.41,        0.552,         1.22,         1.45,         1.07,        0.769,         1.73,         2.03,         1.51,         2.68,        0.149,       0.00044448,       3.1176e-06,        0.0004476,         0.45,        0.736,        0.325,        0.572,        0.583,        0.493,        0.524,        0.873,        0.948,        0.782,        0.857,       0.0476
