epoch, wall, LR,training_loss_f,training_loss_e,training_loss,training_f_mae,training_f_rmse,training_H_f_mae,training_C_f_mae,training_N_f_mae,training_O_f_mae,training_psavg_f_mae,training_H_f_rmse,training_C_f_rmse,training_N_f_rmse,training_O_f_rmse,training_psavg_f_rmse,training_e_mae,training_e/N_mae,validation_loss_f,validation_loss_e,validation_loss,validation_f_mae,validation_f_rmse,validation_H_f_mae,validation_C_f_mae,validation_N_f_mae,validation_O_f_mae,validation_psavg_f_mae,validation_H_f_rmse,validation_C_f_rmse,validation_N_f_rmse,validation_O_f_rmse,validation_psavg_f_rmse,validation_e_mae,validation_e/N_mae
         1,  126.591,     0.01,          0.21768,        0.0009157,          0.21859,         7.24,         12.9,          5.7,         10.3,            0,         10.3,         6.58,         10.1,         17.6,            0,         16.8,         11.1,         10.7,        0.592,         0.013851,       2.9876e-05,         0.013881,         2.27,         3.26,         1.82,         2.92,            0,         3.42,         2.04,         2.58,          3.9,            0,         4.67,         2.79,         2.11,        0.117
         2,  212.166,     0.01,        0.0098048,       7.2181e-05,         0.009877,         1.91,         2.74,         1.52,         2.52,            0,         2.84,         1.72,         2.14,         3.36,            0,         3.93,         2.36,         3.24,         0.18,        0.0057083,       9.5154e-06,        0.0057178,         1.41,         2.09,          1.1,         1.92,            0,         2.13,         1.29,         1.61,         2.61,            0,         3.01,         1.81,         1.13,       0.0627
         3,  297.517,     0.01,         0.006683,       6.4015e-05,         0.006747,         1.59,         2.26,         1.28,         2.02,            0,         2.39,         1.42,         1.82,         2.68,            0,         3.21,         1.93,         3.17,        0.176,        0.0034423,       6.6538e-06,        0.0034489,         1.07,         1.63,        0.837,         1.44,            0,         1.62,        0.976,         1.26,            2,            0,         2.34,          1.4,        0.954,        0.053
         4,  382.845,     0.01,        0.0043662,       3.2431e-05,        0.0043986,         1.28,         1.83,         1.02,         1.65,            0,         1.99,         1.16,         1.45,         2.16,            0,         2.66,         1.57,         2.29,        0.127,         0.002396,       5.3718e-06,        0.0024013,        0.879,         1.36,        0.688,         1.19,            0,         1.33,        0.802,         1.06,         1.67,            0,         1.94,         1.17,        0.858,       0.0477
         5,  468.375,     0.01,        0.0034253,       3.7339e-05,        0.0034626,         1.14,         1.62,        0.909,         1.48,            0,          1.7,         1.02,         1.29,            2,            0,         2.26,         1.39,         2.36,        0.131,        0.0018562,       4.2948e-06,        0.0018604,        0.767,         1.19,        0.601,         1.03,            0,         1.17,          0.7,        0.935,         1.46,            0,         1.71,         1.03,        0.772,       0.0429
         6,  553.843,     0.01,        0.0032649,       4.2907e-05,        0.0033078,         1.11,         1.58,        0.867,          1.4,            0,         1.77,         1.01,         1.24,         1.84,            0,         2.33,         1.36,         2.51,         0.14,        0.0015143,        3.771e-06,         0.001518,        0.687,         1.08,        0.536,        0.927,            0,         1.05,        0.628,         0.84,         1.32,            0,         1.55,        0.928,        0.723,       0.0402
         7,  639.226,     0.01,        0.0024795,       2.3745e-05,        0.0025033,        0.976,         1.38,        0.775,         1.25,            0,         1.51,        0.883,         1.09,         1.66,            0,         1.98,         1.18,         1.91,        0.106,        0.0012745,       3.0538e-06,        0.0012775,        0.628,        0.989,        0.492,        0.843,            0,        0.956,        0.573,        0.776,         1.21,            0,         1.42,         0.85,        0.656,       0.0364
         8,  724.683,     0.01,        0.0021663,       2.0304e-05,        0.0021866,        0.905,         1.29,        0.708,         1.18,            0,         1.42,        0.827,         1.01,         1.55,            0,         1.87,         1.11,         1.73,       0.0961,        0.0010998,       2.8038e-06,        0.0011026,         0.58,        0.919,        0.453,        0.778,            0,        0.889,         0.53,        0.718,         1.12,            0,         1.32,         0.79,        0.627,       0.0349
         9,  810.067,     0.01,        0.0020578,       1.9824e-05,        0.0020776,        0.891,         1.26,         0.72,         1.15,            0,         1.32,        0.797,         1.01,         1.52,            0,         1.75,         1.07,         1.77,       0.0984,       0.00098408,       2.4928e-06,       0.00098657,        0.547,        0.869,        0.426,        0.735,            0,         0.84,          0.5,        0.677,         1.06,            0,         1.25,        0.748,        0.594,        0.033
        10,  895.326,     0.01,        0.0034271,       2.3684e-05,        0.0034507,         1.13,         1.62,        0.925,         1.37,            0,         1.72,            1,         1.33,         1.86,            0,         2.29,         1.37,         1.85,        0.103,       0.00097153,       2.2956e-06,       0.00097383,        0.549,        0.864,        0.428,         0.73,            0,        0.849,        0.502,        0.673,         1.05,            0,         1.25,        0.743,         0.57,       0.0316
